PlotNo,Date,Subplot,Month,Scale_m2,Veg_Total_Cover,Herb_Cover,Cryptogam_Cover,Bare_Ground_Cover,Leaves_Cover,Litter_Cover_Total,Litter_Cover_last_year_litter,Litter_Cover_litte_from_2025_mowing,Dead_Wood_Cover,Stones_Rocks_Cover,Gravel_Cover,Fine_Soil_Cover,Max_Herb_Height,Max_Cryptogam_Height,10m_Max_Cryptogam_Height,Remarks
BC06,28/09/2025,NW,September,1,95,85,30,3,1,8,8,0,0,0,0,100,24,2,,
BC07,27/03/2025,N,March,1,85,65,50,5,1,10,10,NA,0,0,10,90,9,2,,"lawn, sandy, dry"
BC07,23/05/2025,N,May,1,70,45,55,25,2,15,15,NA,0,1,15,84,25,2,,
BC07,31/07/2025,N,July,1,78,70,50,10,2,35,35,0,0.1,0,30,70,63,2,,
BC07,28/09/2025,N,September,1,90,75,60,5,1,25,25,0,0,0,35,65,37,2,,
BC08,27/03/2025,NW,March,1,85,65,50,15,0,7,7,NA,0,0,0,100,7,1,,
BC08,24/05/2025,NW,May,1,75,70,35,10,0,20,20,NA,0,0,0,100,39,1,,
BC08,02/08/2025,NW,July,1,85,75,60,5,0.1,30,10,20,0,0,1,99,16,1,,
BC08,03/10/2025,NW,September,1,80,75,50,10,0.5,30,25,5,0,0,0,100,10,2,,
BC09,27/03/2025,NW,March,1,100,20,95,0,10,15,15,NA,0,0,0,100,8,6,,many dry Acer seeds
BC09,24/05/2025,NW,May,1,100,35,98,6,5,7,7,NA,0,0,0,100,60,4,,
BC09,30/07/2025,NW,July,1,98,60,95,2,2,10,10,0,0.3,0,0,100,73,3,,
BC09,03/10/2025,NW,September,1,99,65,98,0,10,13,13,0,0,0,0,100,37,6,,
BC10,04/04/2025,NW,March,1,65,50,25,20,8,20,20,NA,0,0,1,99,11,1,,
BC10,31/05/2025,NW,May,1,80,75,20,20,10,20,20,NA,0,0,0,100,66,,,
BC10,25/07/2025,NW,July,1,75,70,30,20,3,15,15,0,0,0,0,100,35,2,,
BC10,03/10/2025,NW,September,1,85,80,40,15,5,15,15,0,0,0,0,100,45,2,,
BC11,28/03/2025,NW,March,1,60,50,15,35,15,20,20,NA,0.1,0,0,100,7,1,,trampled
BC11,31/05/2025,NW,May,1,80,75,10,12,10,15,15,NA,0.5,0,0,100,24,1,,
BC11,29/07/2025,NW,July,1,85,83,15,15,4,8,8,0,0.5,0,0,100,13,1,,
BC11,01/10/2025,NW,September,1,85,80,20,15,10,13,13,0,0,0,0,100,12,1,,
BC12,28/03/2025,NW,March,1,70,40,70,2,15,60,60,NA,0,0,0,100,13,3,,
BC12,31/05/2025,NW,May,1,85,70,60,1,20,65,65,NA,0.5,0,0,100,81,3,,
BC12,25/07/2025,NW,July,1,90,65,60,1,7,60,60,0,0.2,0,0,100,24,3,,
BC12,03/10/2025,NW,September,1,95,70,80,1,10,60,60,0,0.5,0,0,100,25,3,,
BC13,05/04/2025,NW,March,1,95,40,85,2,12,15,15,NA,0.01,0,0,100,10,3,,
BC13,29/05/2025,NW,May,1,93,70,85,5,15,18,18,NA,0,0,0,100,67,1,,
BC13,28/07/2025,NW,July,1,90,50,80,5,12,18,18,0,0.1,0,0,100,13,2,,
BC13,05/10/2025,NW,September,1,85,60,80,10,15,20,20,0,1,0,0,100,7,3,,
BC14,03/04/2025,NW,March,1,85,40,70,10,5,20,20,NA,0,0,0,100,12,4,,
BC14,29/05/2025,NW,May,1,85,70,70,10,6,16,16,NA,0,0,0,100,50,3,,
BC14,28/07/2025,NW,July,1,95,60,90,3,5,15,15,0,0.5,0,0,100,27,4,,
BC14,05/10/2025,NW,September,1,95,60,85,4,15,25,25,0,0,0,0,100,16,5,,
BC15,27/03/2025,NW,March,1,85,30,60,8,3,20,20,NA,0,0,0,100,7,2,,
BC15,29/05/2025,NW,May,1,75,60,70,15,2,20,20,NA,3,0,0,100,52,2,,
BC15,29/07/2025,NW,July,1,85,60,60,10,5,30,30,0,1,0,0,100,36,2,,
BC15,01/10/2025,NW,September,1,75,60,50,20,10,30,30,0,1,0,0,100,20,2,,
BC16,28/03/2025,NW,March,1,99,50,95,0,15,30,30,NA,0,0,0,100,12,6,,
BC16,26/05/2025,NW,May,1,95,70,95,0,10,30,30,NA,0,0,0,100,50,4,,
BC16,02/08/2025,NW,July,1,98,95,95,1,5,18,18,0,0.2,0,0,100,33,3,,
BC16,05/10/2025,NW,September,1,97,80,90,2,15,23,23,0,0,0,0,100,15,3,,
BC17,05/04/2025,N,March,1,90,80,70,10,1,8,8,NA,0.2,0,0,100,19,2,,
BC17,23/05/2025,N,May,1,85,75,15,10,2,5,5,NA,0,0,0,100,56,3,,
BC17,23/07/2025,N,July,1,80,75,30,10,2,30,20,10,1,0,0,100,32,3,,
BC17,01/10/2025,N,September,1,90,85,65,3,1,25,15,10,0,0,0,100,31,3,,
BC18,28/03/2025,NW,March,1,95,20,90,2,20,30,30,NA,0,0,0,100,12,3,,
BC18,24/05/2025,NW,May,1,95,40,80,1,20,35,35,NA,0,0,0,100,99,3,,
BC18,01/08/2025,NW,July,1,98,75,90,1,4,45,10,35,0.1,0,5,95,38,3,,
BC18,26/09/2025,NW,September,1,95,80,85,1,7,18,18,0,2,0,0,100,23,4,,
BC19,05/04/2025,NW,March,1,95,35,90,2,6,10,10,NA,0,0,0,100,14,7,,
BC19,26/05/2025,NW,May,1,98,85,90,1,1,3,3,NA,0,0,0,100,46,5,,
BC19,22/07/2025,NW,July,1,98,75,80,0,1,3,3,0,0.5,0,0,100,29,6,,
BC19,26/09/2025,NW,September,1,98,70,90,2,3,5,5,0,0,0,0,100,15,5,,
BC20,25/03/2025,NW,March,1,,40,75,3,8,20,20,NA,0,0,1,99,9,5,,
BC20,26/05/2025,NW,May,1,80,65,70,3,15,30,30,NA,0,0,0,100,51,3,,
BC20,22/07/2025,NW,July,1,90,35,80,2,5,15,15,0,0,0,0,100,25,5,,
BC20,26/09/2025,NW,September,1,85,60,75,3,20,35,35,0,0,0,0,100,17,4,,
BC01,29/03/2025,SE,March,1,90,55,60,5,1,10,10,NA,0,0,0,100,8,3,,
BC01,22/05/2025,SE,May,1,85,65,70,3,2,20,20,NA,0,0,0,100,53,2,,
BC01,24/07/2025,SE,July,1,85,75,80,10,5,10,10,0,0,0,0,100,60,3,,
BC01,02/10/2025,SE,September,1,95,94,80,4,20,26,26,0,0,0,0,100,25,4,,
BC02,29/03/2025,SE,March,1,95,65,60,5,3,15,15,NA,0,0,0,100,12,3,,
BC02,22/05/2025,SE,May,1,75,70,20,10,5,30,30,NA,0,0,0,100,36,1,,
BC02,24/07/2025,SE,July,1,80,65,65,20,7,30,30,0,0,0,0,100,85,,,
BC02,02/10/2025,SE,September,1,80,79,70,15,5,15,15,0,0,0,0,100,89,3,,
BC03,29/03/2025,SE,March,1,95,85,85,0,5,25,25,NA,0,0,0,100,18,7,,
BC03,30/05/2025,SE,May,1,95,75,90,2,10,60,60,NA,0,0,0,100,66,5,,
BC03,24/07/2025,SE,July,1,95,80,90,1,10,25,25,0,0,0,0,100,55,5,,
BC03,02/10/2025,SE,September,1,95,85,90,1,3,40,20,30,0,0,0,100,26,4,,
BC04,29/03/2025,SE,March,1,95,50,55,2,3,20,20,NA,0,0,0,100,8,3,,
BC04,24/05/2025,SE,May,1,85,65,75,10,5,20,20,NA,0,0,0,100,58,3,,
BC04,24/07/2025,SE,July,1,90,70,90,7,5,15,15,0,0,0,0,100,60,4,,
BC04,02/10/2025,SE,September,1,90,80,90,8,6,15,5,10,0,0,0,100,23,6,,
BC05,28/03/2025,SE,March,1,95,65,85,1,3,30,30,NA,0,0,0,100,10,4,,
BC05,30/05/2025,SE,May,1,98,85,95,1,7,30,30,NA,0,0,0,100,85,3,,
BC05,23/07/2025,SE,July,1,90,85,80,1,10,25,25,0,0,0,0,100,63,2,,
BC05,28/09/2025,SE,September,1,98,92,87,2,14,25,25,0,0.3,0,0,100,54,3,,
BC06,27/03/2025,SE,March,1,90,45,50,8,2,15,15,NA,0,0,0,100,14,6,,
BC06,23/05/2025,SE,May,1,65,55,40,20,5,35,35,NA,1,0,0,100,45,2,,
BC06,30/07/2025,SE,July,1,80,70,45,20,1,15,15,0,0.5,0,0,100,,,,
BC06,28/09/2025,SE,September,1,90,85,50,7,1,15,15,0,0,0,0,100,21,3,,
BC07,27/03/2025,S,March,1,99,35,70,0.1,0.3,8,8,NA,0,0,3,97,8,4,,
BC07,23/05/2025,S,May,1,80,40,65,15,0,15,15,NA,0,0,1,99,17,3,,
BC07,31/07/2025,S,July,1,80,60,70,7,2,30,30,0,0.1,0,5,95,48,3,,
BC07,28/09/2025,S,September,1,90,65,85,3,2,20,20,0,0,0,40,60,41,3,,
BC08,27/03/2025,SE,March,1,90,70,25,8,1,2,2,NA,0,0,0.1,99.9,8,1,,
BC08,24/05/2025,SE,May,1,80,65,30,20,0.5,5,5,NA,0,1,0,99,45,1,,
BC08,02/08/2025,SE,July,1,80,75,55,6,0.1,35,10,25,0,0,1,99,17,1,,
BC08,03/10/2025,SE,September,1,85,80,55,5,0.1,15,15,0,0,0,1,99,13,2,,
BC09,27/03/2025,SE,March,1,98,15,95,0,7,15,15,NA,0,0,0,100,12,6,,
BC09,24/05/2025,SE,May,1,98,65,95,0,10,15,15,NA,0,0,0,100,31,5,,
BC09,30/07/2025,SE,July,1,98,70,95,1,5,7,7,0,0.1,0,0,100,35,5,,
BC09,03/10/2025,SE,September,1,99,75,98,1,10,11,11,0,0,0,0,100,33,6,,
BC10,04/04/2025,SE,March,1,70,50,35,20,5,15,15,NA,0,0,1,99,19,1,,
BC10,31/05/2025,SE,May,1,80,70,25,20,8,16,16,NA,0,0,0,100,124,1,,
BC10,25/07/2025,SE,July,1,80,60,40,20,3,10,10,0,0.1,0,0,100,63,2,,
BC10,03/10/2025,SE,September,1,85,75,40,10,7,10,10,0,0,0,0,100,61,2,,
BC11,28/03/2025,SE,March,1,75,40,45,15,10,15,15,NA,1,0,0,100,8,2,,
BC11,31/05/2025,SE,May,1,85,80,35,5,12,20,20,NA,0.5,0,0,100,29,1,,
BC11,29/07/2025,SE,July,1,95,90,50,6,6,10,10,0,0.2,0,0,100,31,1,,
BC11,01/10/2025,SE,September,1,95,90,70,3,25,30,30,0,0.5,0,0,100,12,3,,
BC12,28/03/2025,SE,March,1,90,40,70,2,10,30,30,NA,0,0,0,100,12,4,,
BC12,31/05/2025,SE,May,1,95,65,90,1,10,40,40,NA,0,0,0,100,47,3,,
BC12,25/07/2025,SE,July,1,97,50,95,0,5,20,20,0,0,0,0,100,23,4,,
BC12,03/10/2025,SE,September,1,99,65,95,1,10,20,20,0,0.1,0,0,100,26,4,,
BC13,05/04/2025,SE,March,1,90,35,85,5,20,25,25,NA,0.1,0,0,100,10,4,,
BC13,29/05/2025,SE,May,1,85,65,75,10,17,25,25,NA,1,0,0,100,57,3,,
BC13,28/07/2025,SE,July,1,80,40,75,10,15,25,25,0,0,0,0,100,15,3,,
BC13,05/10/2025,SE,September,1,94,50,90,5,15,22,22,0,1,0,0,100,11,3,,
BC14,03/04/2025,SE,March,1,99,20,95,1,2,5,5,NA,0,0,0,100,10,4,,
BC14,29/05/2025,SE,May,1,99,50,97,1,3,5,5,NA,0.1,0,0,100,51,5,,
BC14,28/07/2025,SE,July,1,98,35,97,1,4,7,7,0,0.5,0,0,100,15,4,,
BC14,05/10/2025,SE,September,1,99,45,98,1,20,23,23,0,1,0,0,100,16,6,,
BC15,27/03/2025,SE,March,1,75,50,30,20,1,15,15,NA,0,0,0,100,10,2,,
BC15,29/05/2025,SE,May,1,70,60,20,25,3,20,20,NA,0,0,0,100,47,1,,
BC15,29/07/2025,SE,July,1,82,80,10,15,2,20,20,0,1,0,0,100,36,1,,
BC15,01/10/2025,SE,September,1,80,75,20,15,6,25,25,0,0,0,0,100,22,2,,
BC16,28/03/2025,SE,March,1,98,45,98,0,7,15,15,NA,0,0,0,100,22,4,,
BC16,26/05/2025,SE,May,1,97,65,95,0,5,15,15,NA,0,0,0,100,62,4,,
BC16,02/08/2025,SE,July,1,98,90,95,0.1,3,7,7,0,0.1,0,0,100,,,,
BC16,05/10/2025,SE,September,1,95,80,90,5,15,20,20,0,1,0,0,100,16,4,,
BC17,05/04/2025,S,March,1,70,55,30,20,1,15,15,NA,0,0,0,100,,,,
BC17,23/05/2025,S,May,1,70,65,15,20,1,15,15,NA,0,0,0,100,65,2,,
BC17,23/07/2025,S,July,1,70,70,5,5,10,6,25,35,0,0,0,100,33,1,,
BC17,01/10/2025,S,September,1,95,95,25,2,15,26,20,6,0.5,0,0,100,32,2,,
BC18,28/03/2025,SE,March,1,99,15,95,1,3,5,5,NA,0.1,0,0,100,,,,
BC18,24/05/2025,SE,May,1,100,25,98,0,2,3,3,NA,1,0,0,100,41,4,,
BC18,01/08/2025,SE,July,1,98,40,79,2,5,14,6,8,0.2,0,5,95,42,5,,
BC18,26/09/2025,SE,September,1,100,55,95,0,15,22,22,0,0.1,0,0,100,33,5,,
BC19,05/04/2025,SE,March,1,97,25,95,1,4,5,5,NA,0,0,0,100,14,6,,
BC19,26/05/2025,SE,May,1,98,70,95,2,1,2,2,NA,0,0,0,100,62,4,,
BC19,22/07/2025,SE,July,1,95,50,90,2,1,4,4,0,0,0,0,100,20,5,,
BC19,26/09/2025,SE,September,1,98,50,90,2,3,6,6,0,0,0,0,100,14,5,,
BC20,25/03/2025,SE,March,1,,60,40,4,10,30,30,NA,0.5,0,0,100,10,4,,
BC20,26/05/2025,SE,May,1,80,65,60,10,15,35,35,NA,1,0,0,100,44,3,,
BC20,22/07/2025,SE,July,1,75,60,50,15,7,20,20,0,0.5,0,0,100,16,,,
BC20,26/09/2025,SE,September,1,90,75,65,7,7,17,17,0,0.5,0,0,100,14,4,,
BC01,29/03/2025,NA,March,10,95,50,70,3,0.5,15,15,NA,0,0,0,100,8,3,,
BC01,22/05/2025,NA,May,10,85,65,70,3,3,20,20,NA,,,,,,,,
BC01,24/07/2025,NA,July,10,90,75,85,5,3,10,10,0,0.1,0,0,100,77,3,,
BC01,02/10/2025,NA,September,10,97,85,90,1,17,25,25,0,0.5,0,0,100,61,5,,
BC02,29/03/2025,NA,March,10,90,45,80,2,5,15,15,NA,0,0,0,100,15,3,,
BC02,22/05/2025,NA,May,10,85,70,55,5,2,15,15,NA,,,,,56,3,,
BC02,24/07/2025,NA,July,10,90,75,85,5,8,20,20,0,0,0,0,100,,,,
BC02,02/10/2025,NA,September,10,90,80,75,5,5,15,15,0,0,0,0,100,130,,,
BC03,29/03/2025,NA,March,10,99,90,70,0.1,3,10,10,NA,0.1,0,0,100,,,,
BC03,30/05/2025,NA,May,10,90,85,65,2,3,35,35,NA,0,0,0,100,68,5,,
BC03,24/07/2025,NA,July,10,98,95,75,2,5,20,20,0,0,0,0,100,140,5,,
BC03,02/10/2025,NA,September,10,90,85,75,1,3,30,20,40,0,0,0,100,51,4,,
BC04,29/03/2025,NA,March,10,95,55,75,2,2,25,25,NA,0,0,0,100,12,7,,
BC04,24/05/2025,NA,May,10,98,75,90,1,2,10,10,NA,0,0,0,100,65,5,,
BC04,24/07/2025,NA,July,10,97,85,90,2,6,15,15,0,0,0,0,100,88,5,,
BC04,02/10/2025,NA,September,10,95,80,90,2,5,15,5,10,0.1,0,0,100,46,7,,
BC05,28/03/2025,NA,March,10,96,60,90,2,3,25,25,NA,0,0,0,100,,,,
BC05,30/05/2025,NA,May,10,97,85,90,2,5,30,30,NA,0.1,0,0,100,85,3,,
BC05,23/07/2025,NA,July,10,95,80,85,1,5,30,30,0,0,0,0,100,115,2,,
BC05,28/09/2025,NA,September,10,96,90,85,1,15,25,25,0,0.5,0,0,100,90,4,,
BC06,27/03/2025,NA,March,10,,60,50,,,,,NA,,,,,,,,
BC06,23/05/2025,NA,May,10,80,70,40,10,2,20,20,NA,0.1,0,0.01,99.99,80,3,,
BC06,30/07/2025,NA,July,10,85,80,25,7,1,20,20,0,0.1,0,0,100,,,,
BC06,28/09/2025,NA,September,10,90,85,40,5,1,10,10,0,0,0,0,100,35,3,,
BC07,27/03/2025,NA,March,10,95,40,70,,,15,15,NA,0,0,5,95,,,,
BC07,23/05/2025,NA,May,10,80,50,60,15,,15,15,NA,0,1,15,84,53,5,,
BC07,31/07/2025,NA,July,10,90,75,60,3,3,20,20,0,0.1,0,10,90,73,3,,
BC07,28/09/2025,NA,September,10,85,70,70,10,0.5,20,20,0,0,0,40,60,67,3,,
BC08,27/03/2025,NA,March,10,85,75,40,12,,2,2,NA,0,0,0.1,99.9,13,1,,
BC08,24/05/2025,NA,May,10,80,70,30,10,0.1,20,20,NA,0,0,0,100,63,1,,
BC08,02/08/2025,NA,July,10,90,80,65,3,0.1,33,8,25,0,0,1,99,17,2,,
BC08,03/10/2025,NA,September,10,85,80,55,5,0.1,18,15,3,0.2,0,1,99,14,2,,
BC09,27/03/2025,NA,March,10,100,20,95,0,15,20,20,NA,0.01,0,0,100,16,6,,
BC09,24/05/2025,NA,May,10,100,60,97,0,8,15,15,NA,0,0,0,100,60,5,,
BC09,30/07/2025,NA,July,10,98,75,95,1,4,10,10,0,0.1,0,0,100,73,5,,
BC09,03/10/2025,NA,September,10,98,85,97,2,8,10,10,0,0.1,0,0,100,37,9,,
BC10,04/04/2025,NA,March,10,,55,30,20,7,,,NA,,,,,,,,
BC10,31/05/2025,NA,May,10,75,70,30,20,10,20,20,NA,0,0,0,100,124,2,,
BC10,25/07/2025,NA,July,10,75,70,25,15,3,12,12,0,0.1,0,0,100,63,2,,
BC10,03/10/2025,NA,September,10,89,79,40,15,6,13,13,0,0.5,0,0,100,82,2,,
BC11,28/03/2025,NA,March,10,,50,30,30,10,15,15,NA,1,0,0,100,7,1,,
BC11,31/05/2025,NA,May,10,80,70,20,15,8,15,15,NA,0.5,0,0,100,35,1,,
BC11,29/07/2025,NA,July,10,90,85,45,10,3,8,8,0,0.1,0,0,100,,1,,
BC11,01/10/2025,NA,September,10,80,75,55,15,25,30,30,0,0.1,0,0,100,17,3,,
BC12,28/03/2025,NA,March,10,90,50,70,1,20,40,40,NA,0,0,0,100,13,5,,
BC12,31/05/2025,NA,May,10,95,85,60,1,10,55,55,NA,0.1,0,0,100,85,3,,
BC12,25/07/2025,NA,July,10,95,60,80,0.5,5,50,50,0,,0,0,100,44,,,
BC12,03/10/2025,NA,September,10,95,75,90,2,12,60,60,0,0.1,0,0,100,26,6,,
BC13,05/04/2025,NA,March,10,85,35,80,4,25,30,30,NA,0.01,0,0,100,10,4,,
BC13,29/05/2025,NA,May,10,90,75,85,6,13,20,20,NA,0.1,0,0,100,77,3,,
BC13,28/07/2025,NA,July,10,85,50,80,5,19,25,25,0,0.1,0,0,100,23,4,,
BC13,05/10/2025,NA,September,10,87,60,85,12,15,25,25,0,1,0,0,100,11,4,,
BC14,03/04/2025,NA,March,10,95,30,85,3,5,15,15,NA,0,0,0,100,12,4,,
BC14,29/05/2025,NA,May,10,97,65,95,3,3,10,10,NA,0.1,0,0,100,60,5,,
BC14,28/07/2025,NA,July,10,95,40,90,2,4,15,15,0,0.5,0,0,100,27,4,,
BC14,05/10/2025,NA,September,10,95,50,90,3,20,27,27,0,0.5,0,0,100,18,6,,
BC15,27/03/2025,NA,March,10,75,50,30,15,2,15,15,NA,0,0,0,100,10,3,,
BC15,29/05/2025,NA,May,10,70,60,65,25,3,17,17,NA,0.5,0,0,100,,,,
BC15,29/07/2025,NA,July,10,85,75,30,7,5,15,15,0,0.5,0,0,100,40,2,,
BC15,01/10/2025,NA,September,10,75,65,40,20,7,25,25,0,0.5,0,0,100,24,2,,
BC16,28/03/2025,NA,March,10,98,50,96,0.5,8,15,15,NA,0,0,0,100,22,6,,
BC16,26/05/2025,NA,May,10,95,70,95,1,5,20,20,NA,0,0,0,100,78,4,,
BC16,02/08/2025,NA,July,10,98,95,95,0.1,5,15,15,0,0.2,0,0,100,43,3,,
BC16,05/10/2025,NA,September,10,97,80,90,2,12,25,25,0,0.5,0,0,100,19,4,,
BC17,05/04/2025,NA,March,10,80,65,60,20,1,15,15,NA,0.2,0,0,100,,,,
BC17,23/05/2025,NA,May,10,85,70,20,10,2,5,5,NA,0,0,0,100,92,3,,
BC17,23/07/2025,NA,July,10,75,70,20,10,3,45,20,25,0.1,0,0,100,39,3,,
BC17,01/10/2025,NA,September,10,90,85,55,5,10,40,25,15,0.5,0,0,100,45,4,,
BC18,28/03/2025,NA,March,10,90,20,90,2,10,15,15,NA,0.01,0,0,100,12,5,,
BC18,24/05/2025,NA,May,10,95,35,85,3,10,20,20,NA,0.1,0,0,100,99,4,,
BC18,01/08/2025,NA,July,10,95,80,90,2,6,25,10,15,1,0,5,95,,5,,
BC18,26/09/2025,NA,September,10,98,70,95,1,15,25,25,0,0.5,0,0,100,36,5,,
BC19,05/04/2025,NA,March,10,96,35,95,1,3,5,5,NA,0,0,0,100,,,,
BC19,26/05/2025,NA,May,10,,,,,,,,NA,,,,,,,,
BC19,22/07/2025,NA,July,10,98,70,90,2,0.5,2,2,0,0.1,0,0,100,31,,,
BC19,26/09/2025,NA,September,10,98,60,95,1,2,4,4,0,0,0,0,100,17,6,,
BC20,25/03/2025,NA,March,10,,,,,,,,NA,,,,,,,,
BC20,26/05/2025,NA,May,10,80,70,70,5,15,25,25,NA,0.1,0,0,100,80,3,,
BC20,22/07/2025,NA,July,10,85,50,70,10,8,20,20,0,0.1,0,0,100,47,5,,
BC20,26/09/2025,NA,September,10,85,70,70,5,12,25,25,0,0.1,0,0,100,26,4,,
