PlotNo,MowFreq,MonthLabel,Taxon,cover,Seedling,Juvenile,FlowerBud,Flowering,Fruiting,PostFruiting
BC01,regular,May,Trifolium repens,3,0,0,0,0,0,0
BC01,regular,May,Veronica arvensis,0.01,0,0,0,0,1,0
BC01,regular,May,Vicia lathyroides,0.5,0,0,0,0,1,0
BC01,regular,September,Achillea millefolium,17,0,0,0,0,0,0
BC01,regular,September,Agrostis capillaris,23,0,0,0,0,0,0
BC01,regular,September,Arenaria serpyllifolia,0.01,1,0,0,0,0,0
BC01,regular,September,Bellis perennis,2,0,0,0,1,0,0
BC01,regular,September,Bromus mollis,0.3,1,0,0,0,0,0
BC01,regular,September,Carex hirta,2,0,0,0,0,0,0
BC01,regular,September,Crepis capillaris,0.1,0,0,0,0,1,0
BC01,regular,September,Festuca ovina,10,0,0,0,0,0,0
BC01,regular,September,Festuca rubra,16,0,0,0,0,0,0
BC01,regular,September,Geranium molle,3,0,0,0,0,0,0
BC01,regular,September,Holcus lanatus,5,0,0,0,0,0,0
BC01,regular,September,Hypericum perforatum,0.1,0,0,0,0,0,0
BC01,regular,September,Hypochaeris radicata,2,0,0,0,0,0,0
BC01,regular,September,Pilosella officinarum,7,0,0,0,1,1,0
BC01,regular,September,Plantago lanceolata,5,0,0,0,0,1,0
BC01,regular,September,Poa compressa,1,0,0,0,0,0,0
BC01,regular,September,Potentilla argentea,0.5,0,0,0,0,0,0
BC01,regular,September,Potentilla reptans,0.5,0,0,0,0,0,0
BC01,regular,September,Robinia pseudoacacie seedling,0.001,0,0,0,0,0,0
BC01,regular,September,Rumex acetosa,7,0,0,0,1,1,0
BC01,regular,September,Rumex acetosella,0.01,1,0,0,0,0,0
BC01,regular,September,Stellaria media,0.001,1,0,0,0,0,0
BC01,regular,September,Trifolium dubium,2,0,0,0,0,0,0
BC01,regular,September,Trifolium pratensis,0.01,0,0,0,1,1,0
BC01,regular,September,Trifolium repens,0.01,0,0,0,1,1,0
BC01,regular,September,Vicia lathyroides,1,0,0,0,0,0,0
BC02,reduced,July,Achillea millefolium,5,0,0,0,1,0,0
BC02,reduced,July,Arenaria serpyllifolia,0.1,0,0,0,1,1,0
BC02,reduced,July,Artemisia absinthium,3,0,0,1,0,0,0
BC02,reduced,July,Berteroa incana,20,0,0,0,1,1,0
BC02,reduced,July,Carex hirta,0.5,0,0,0,0,0,0
BC02,reduced,July,Cichorium intybus,1.5,0,0,0,1,1,0
BC02,reduced,July,Crepis capillaris,0.5,0,0,0,1,1,0
BC02,reduced,July,Dactylis glomerata,0.5,0,0,0,0,1,0
BC02,reduced,July,Daucus carota,0.1,0,0,0,0,0,0
BC02,reduced,July,Echium vulgare,2.5,0,0,0,1,1,0
BC02,reduced,July,Erodium cicutarium,1,0,0,0,1,0,0
BC02,reduced,July,Festuca rubra,2,0,0,0,0,1,0
BC02,reduced,July,Geranium molle,1,1,0,0,0,0,0
BC02,reduced,July,Geum,0.01,0,0,0,0,0,0
BC02,reduced,July,Hypericum perforatum,1,0,0,0,1,1,0
BC02,reduced,July,Medicago lupulina,3,0,0,0,1,1,0
BC02,reduced,July,Medicago sativa,0.01,0,0,0,1,1,0
BC02,reduced,July,Melandrium album,0.5,0,0,0,1,0,0
BC02,reduced,July,Plantago lanceolata,3,0,0,0,1,1,0
BC02,reduced,July,Poa pratensis,1,0,0,0,0,0,0
BC02,reduced,July,Potentilla argentea,1,0,0,0,0,0,0
BC02,reduced,July,Rumex acetosa,15,0,0,0,1,1,0
BC02,reduced,July,Sedum acre,6,0,0,0,0,0,0
BC02,reduced,July,Solidago canadensis,0.01,0,0,1,0,0,0
BC02,reduced,July,Tanacetum vulgare,0.01,0,0,0,1,0,0
BC02,reduced,July,Vicia sativa,0.2,1,0,0,0,0,0
BC02,reduced,March,Achillea millefolium,1,0,0,0,1,0,0
BC02,reduced,March,Arenaria serpyllifolia,0.01,0,0,0,0,0,0
BC02,reduced,March,Artemisia absinthium,0.01,0,0,0,0,0,0
BC02,reduced,March,Bellis perennis,0.01,0,0,0,0,0,0
BC02,reduced,March,Berteroa incana,0.3,0,0,0,0,0,0
BC02,reduced,March,Bromus sterilis,0.1,0,0,0,0,0,0
BC02,reduced,March,Cardamine hirsuta,0.1,0,0,0,1,0,0
BC02,reduced,March,Carex hirta,0.3,0,0,0,0,0,0
BC02,reduced,March,Cerastium,0.01,0,0,0,0,0,0
BC02,reduced,March,Cerastium semidecandrum,0.5,0,0,0,1,0,0
BC02,reduced,March,Crepis capillaris,0.7,0,0,0,0,0,0
BC02,reduced,March,Dactylis glomerata,0.2,0,0,0,0,0,0
BC02,reduced,March,Daucus carota,1,0,0,0,0,0,0
BC02,reduced,March,Draba verna,0.001,0,0,0,1,0,0
BC02,reduced,March,Echium vulgare,0.001,0,0,0,0,0,0
BC02,reduced,March,Erodium cicutarium,0.5,0,0,0,0,0,0
BC02,reduced,March,Festuca rubra,2,0,0,0,0,0,0
BC02,reduced,March,Geranium molle,5,0,0,0,0,0,0
BC02,reduced,March,Hypericum perforatum,2,0,0,0,0,0,0
BC02,reduced,March,Lamium purpureum,0.3,0,0,0,1,0,0
BC02,reduced,March,Medicago sativa,1,0,0,0,0,0,0
BC02,reduced,March,Melandrium album,0.1,0,0,0,0,0,0
BC02,reduced,March,Plantago lanceolata,2,0,0,0,0,0,0
BC02,reduced,March,Poa pratensis,2,0,0,0,0,0,0
BC02,reduced,March,Potentilla argentea,0.001,0,0,0,0,0,0
BC02,reduced,March,Rumex acetosa,13,0,0,0,0,0,0
BC02,reduced,March,Sedum acre,10,0,0,0,0,0,0
BC02,reduced,March,Senecio vulgaris,0.1,0,0,0,0,0,0
BC02,reduced,March,Solidago canadensis,1,0,0,0,0,0,0
BC02,reduced,March,Stellaria media,0.5,0,0,0,1,0,0
BC02,reduced,March,Tanacetum vulgare,7,0,0,0,0,0,0
BC02,reduced,March,Taraxacum,0.01,0,0,0,0,0,0
BC02,reduced,March,Veronica arvensis,0.1,1,0,0,0,0,0
BC02,reduced,March,Veronica sublobata,0.001,0,0,0,1,0,0
BC02,reduced,March,Vicia sativa,25,0,0,0,0,0,0
BC02,reduced,May,Achillea millefolium,3,0,0,0,0,0,0
BC02,reduced,May,Arenaria serpyllifolia,0.01,0,0,0,0,1,0
BC02,reduced,May,Artemisia absinthium,1,0,0,0,0,0,0
BC02,reduced,May,Berteroa incana,2,0,0,0,0,0,0
BC02,reduced,May,Bromus sterilis,0.01,0,0,0,0,0,0
BC02,reduced,May,Carex hirta,0.5,0,0,0,0,0,0
BC02,reduced,May,Cerastium semidecandrum,0.5,0,0,0,0,1,0
BC02,reduced,May,Crepis capillaris,2,0,0,0,0,0,0
BC02,reduced,May,Dactylis glomerata,1,0,0,0,1,0,0
BC02,reduced,May,Daucus carota,0.1,0,0,0,0,0,0
BC02,reduced,May,Echium vulgare,2,0,0,0,0,0,0
BC02,reduced,May,Erodium cicutarium,1,0,0,0,0,1,0
BC02,reduced,May,Festuca rubra,5,0,0,0,0,1,0
BC02,reduced,May,Geranium molle,3,0,0,0,1,0,0
BC02,reduced,May,Geum,0.001,0,0,0,0,0,0
BC02,reduced,May,Hypericum perforatum,0.5,0,0,0,0,0,0
BC02,reduced,May,Medicago lupulina,0.5,0,0,0,0,0,0
BC02,reduced,May,Medicago sativa,2,0,0,0,0,0,0
BC02,reduced,May,Melandrium album,0.1,0,0,0,0,0,0
BC02,reduced,May,Plantago lanceolata,5,0,0,0,1,0,0
BC02,reduced,May,Poa pratensis,2,0,0,0,0,0,0
BC02,reduced,May,Potentilla argentea,1,0,0,0,0,0,0
BC02,reduced,May,Rumex acetosa,15,0,0,0,0,0,0
BC02,reduced,May,Sedum acre,10,0,0,0,0,0,0
BC02,reduced,May,Senecio vulgaris,0.01,0,0,0,0,1,0
BC02,reduced,May,Solidago canadensis,5,0,0,0,0,0,0
BC02,reduced,May,Tanacetum vulgare,15,0,0,0,0,0,0
BC02,reduced,May,Taraxacum,0.1,0,0,0,0,0,0
BC02,reduced,May,Trifolium dubium,0.1,0,0,0,1,0,0
BC02,reduced,May,Veronica arvensis,1,0,0,0,0,2,0
BC02,reduced,May,Vicia sativa,25,0,0,0,0,1,0
BC02,reduced,September,Achillea millefolium,4,0,0,0,1,1,0
BC02,reduced,September,Arenaria serpyllifolia,0.5,1,0,0,0,0,0
BC02,reduced,September,Artemisia absinthium,5,0,0,0,0,1,0
BC02,reduced,September,Berteroa incana,3,0,0,0,1,1,0
BC02,reduced,September,Bromus sterilis,1,0,0,0,0,0,0
BC02,reduced,September,Carex hirta,5,0,0,0,0,0,0
BC02,reduced,September,Cerastium,0.5,1,0,0,0,0,0
BC02,reduced,September,Cichorium intybus,5,0,0,0,1,1,0
BC02,reduced,September,Crepis capillaris,0.5,0,0,0,1,1,0
BC02,reduced,September,Dactylis glomerata,1,0,0,0,0,1,0
BC02,reduced,September,Daucus carota,2,0,0,0,0,0,0
BC02,reduced,September,Echium vulgare,5,0,0,0,0,1,0
BC02,reduced,September,Erodium cicutarium,3,0,0,0,1,1,0
BC02,reduced,September,Festuca rubra,2,0,0,0,0,1,0
BC02,reduced,September,Geranium molle,5,0,0,0,0,0,0
BC02,reduced,September,Geum,0.001,0,0,0,0,0,0
BC02,reduced,September,Hypericum perforatum,5,0,0,0,0,1,0
BC02,reduced,September,Lamium purpureum,0.01,1,0,0,0,0,0
BC02,reduced,September,Medicago lupulina,0.1,0,0,0,0,0,0
BC02,reduced,September,Medicago sativa,2,0,0,0,0,1,0
BC02,reduced,September,Melandrium album,0.5,0,0,0,0,1,0
BC02,reduced,September,Plantago lanceolata,4,0,0,0,0,0,0
BC02,reduced,September,Poa pratensis,2,0,0,0,0,0,0
BC02,reduced,September,Potentilla argentea,1,0,0,0,1,1,0
BC02,reduced,September,Rumex acetosa,15,0,0,0,0,1,0
BC02,reduced,September,Sedum acre,5,0,0,0,0,1,0
BC02,reduced,September,Setaria viridis,0.001,0,0,0,1,1,0
BC02,reduced,September,Solidago canadensis,10,0,0,0,1,1,0
BC02,reduced,September,Stellaria media,0.3,1,0,0,0,0,0
BC02,reduced,September,Tanacetum vulgare,25,0,0,0,1,1,0
BC02,reduced,September,Taraxacum,0.01,0,0,0,0,0,0
BC02,reduced,September,Trifolium dubium,0.5,1,0,0,0,0,0
BC02,reduced,September,Veronica arvensis,0.2,1,0,0,0,0,0
BC02,reduced,September,Vicia lathyroides,0.1,0,0,0,0,0,0
BC02,reduced,September,Vicia sativa,0.5,0,0,0,0,0,0
BC03,reduced,July,Achillea millefolium,0.2,0,0,0,1,0,0
BC03,reduced,July,Agrostis capillaris,10,0,0,0,0,1,0
BC03,reduced,July,Artemisia vulgaris,7,0,0,0,0,0,0
BC03,reduced,July,Berteroa incana,8,0,0,0,1,1,0
BC03,reduced,July,Bromus sterilis,0.1,1,0,0,0,0,0
BC03,reduced,July,Daucus carota,0.2,0,0,0,1,0,0
BC03,reduced,July,Diplotaxis,0.1,0,0,0,0,0,0
BC03,reduced,July,Echium vulgare,1,1,0,0,0,0,0
BC03,reduced,July,Elymus repens,1,0,0,0,0,1,0
BC03,reduced,July,Erodium ciconium,2,1,0,0,0,0,0
BC03,reduced,July,Erodium cicutarium,0.01,1,0,0,0,0,0
BC03,reduced,July,Festuca ovina,10,0,0,0,0,1,0
BC03,reduced,July,Festuca rubra,15,0,0,0,0,1,0
BC03,reduced,July,Geranium molle,2,1,0,0,0,0,0
BC03,reduced,July,Hypericum perforatum,0.5,0,0,0,1,1,0
BC03,reduced,July,Hypochaeris radicata,0.01,0,0,0,0,0,0
BC03,reduced,July,Lamium purpureum,3,1,0,0,0,0,0
BC03,reduced,July,Lolium perenne,0.5,0,0,0,0,0,0
BC03,reduced,July,Medicago sativa,20,0,0,0,1,1,0
BC03,reduced,July,Melandrium album,1,0,0,0,1,0,0
BC03,reduced,July,Plantago lanceolata,5,0,0,0,1,1,0
BC03,reduced,July,Potentilla argentea,1,0,0,0,1,1,0
BC03,reduced,July,Potentilla reptans,7,0,0,0,0,1,0
BC03,reduced,July,Potentilla verna,1,0,0,0,0,1,0
BC03,reduced,July,Stellaria media,0.5,1,0,0,0,0,0
BC03,reduced,July,Taraxacum,2,0,0,0,0,0,0
BC03,reduced,July,Trifolium repens,0.1,0,0,0,0,0,0
BC03,reduced,July,Verbascum lychnitis,0.7,0,0,0,1,0,0
BC03,reduced,July,Veronica arvensis,0.01,1,0,0,0,0,0
BC03,reduced,July,Vicia sativa,0.3,1,0,0,0,0,0
BC03,reduced,March,Achillea millefolium,0.5,0,0,0,0,0,0
BC03,reduced,March,Agrostis capillaris,5,0,0,0,0,0,0
BC03,reduced,March,Artemisia vulgaris,0.1,0,0,0,0,0,0
BC03,reduced,March,Bellis perennis,0.1,0,0,0,1,0,0
BC03,reduced,March,Berteroa incana,0.01,0,0,0,0,0,0
BC03,reduced,March,Bromus sterilis,5,0,0,0,0,0,0
BC03,reduced,March,Cardamine hirsuta,0.8,0,0,0,1,0,0
BC03,reduced,March,Crepis capillaris,0.1,0,0,0,0,0,0
BC03,reduced,March,Daucus carota,1,0,0,0,0,0,0
BC03,reduced,March,Erodium ciconium,0.01,0,0,0,0,0,0
BC03,reduced,March,Festuca ovina,17,0,0,0,1,0,0
BC03,reduced,March,Festuca rubra,1,0,0,0,0,0,0
BC03,reduced,March,Geranium molle,0.5,0,0,0,0,0,0
BC03,reduced,March,Hypericum perforatum,0.1,0,0,0,0,0,0
BC03,reduced,March,Hypochaeris radicata,0.01,0,0,0,0,0,0
BC03,reduced,March,Lamium purpureum,35,0,0,0,1,0,0
BC03,reduced,March,Lolium perenne,21,0,0,0,0,0,0
BC03,reduced,March,Medicago lupulina,0.1,0,0,0,0,0,0
BC03,reduced,March,Medicago sativa,2,0,0,0,0,0,0
BC03,reduced,March,Melandrium album,0.2,0,0,0,0,0,0
BC03,reduced,March,Myosotis ramosissima,0.001,0,0,0,0,0,0
BC03,reduced,March,Plantago lanceolata,0.2,0,0,0,0,0,0
BC03,reduced,March,Poa pratensis,0.01,0,0,0,0,0,0
BC03,reduced,March,Potentilla argentea,0.05,0,0,0,0,0,0
BC03,reduced,March,Potentilla reptans,0.1,0,0,0,0,0,0
BC03,reduced,March,Scilla bifolia,0.1,0,0,0,1,0,0
BC03,reduced,March,Stellaria media,2,0,0,0,1,0,0
BC03,reduced,March,Taraxacum,0.2,0,0,0,0,0,0
BC03,reduced,March,Trifolium dubium,0.001,0,0,0,0,0,0
BC03,reduced,March,Trifolium pratensis,0.5,0,0,0,0,0,0
BC03,reduced,March,Valerianella locusta,7,0,0,0,0,0,0
BC03,reduced,March,Verbascum,0.5,0,0,0,0,0,0
BC03,reduced,March,Veronica persica,1,0,0,0,1,0,0
BC03,reduced,March,Vicia sativa,1,0,0,0,0,0,0
BC03,reduced,May,Achillea millefolium,0.01,0,0,0,0,0,0
BC03,reduced,May,Agrostis capillaris,5,0,0,0,1,0,0
BC03,reduced,May,Arenaria serpyllifolia,0.01,0,0,0,0,1,0
BC03,reduced,May,Artemisia vulgaris,3,0,0,0,0,0,0
BC03,reduced,May,Berteroa incana,1,0,0,0,0,0,0
BC03,reduced,May,Bromus sterilis,10,0,0,0,1,1,0
BC03,reduced,May,Cerastium semidecandrum,0.001,0,0,0,0,1,0
BC03,reduced,May,Crepis capillaris,0.001,0,0,0,0,0,0
BC03,reduced,May,Daucus carota,3,0,0,0,0,0,0
BC03,reduced,May,Diplotaxis,0.5,0,0,0,0,0,0
BC03,reduced,May,Echium vulgare,0.1,0,0,0,0,0,0
BC03,reduced,May,Elymus repens,0.5,0,0,0,0,0,0
BC03,reduced,May,Erodium ciconium,0.01,0,0,0,1,0,0
BC03,reduced,May,Festuca ovina,10,0,0,0,1,1,0
BC03,reduced,May,Festuca rubra,15,0,0,0,1,1,0
BC03,reduced,May,Geranium molle,2,0,0,0,1,1,0
BC03,reduced,May,Hypericum perforatum,0.1,0,0,0,0,0,0
BC03,reduced,May,Hypochaeris radicata,0.1,0,0,0,0,0,0
BC03,reduced,May,Leucanthemum vulgare,0.01,0,0,1,0,0,0
BC03,reduced,May,Lolium perenne,2,0,0,0,1,0,0
BC03,reduced,May,Medicago lupulina,0.2,0,0,0,0,0,0
BC03,reduced,May,Medicago sativa,30,0,0,0,1,0,0
BC03,reduced,May,Melandrium album,0.5,0,0,0,0,0,0
BC03,reduced,May,Myosotis ramosissima,0.001,0,0,0,0,1,0
BC03,reduced,May,Plantago lanceolata,4,0,0,0,1,0,0
BC03,reduced,May,Poa pratensis,2,0,0,0,1,1,0
BC03,reduced,May,Potentilla argentea,0.5,0,0,0,1,0,0
BC03,reduced,May,Potentilla reptans,5,0,0,0,0,0,0
BC03,reduced,May,Potentilla verna,0.1,0,0,0,0,1,0
BC03,reduced,May,Taraxacum,1,0,0,0,0,1,0
BC03,reduced,May,Trifolium dubium,0.001,0,0,0,1,0,0
BC03,reduced,May,Trifolium pratensis,0.5,0,0,0,1,0,0
BC03,reduced,May,Trifolium repens,0.2,0,0,0,1,0,0
BC03,reduced,May,Verbascum,2,0,0,0,0,0,0
BC03,reduced,May,Veronica arvensis,0.1,0,0,0,0,1,0
BC03,reduced,May,Veronica persica,0.001,0,0,0,0,1,0
BC03,reduced,May,Vicia sativa,5,0,0,0,1,1,0
BC03,reduced,September,Achillea millefolium,2,0,0,0,0,0,0
BC03,reduced,September,Agrostis capillaris,15,0,0,0,0,0,0
BC03,reduced,September,Arenaria serpyllifolia,0.01,1,0,0,0,0,0
BC03,reduced,September,Artemisia vulgaris,8,0,0,0,0,0,0
BC03,reduced,September,Berteroa incana,3,0,0,0,1,1,0
BC03,reduced,September,Bromus sterilis,0.01,0,0,0,0,0,0
BC03,reduced,September,Daucus carota,0.5,0,0,0,0,0,0
BC03,reduced,September,Diplotaxis,2,0,0,0,1,1,0
BC03,reduced,September,Echium vulgare,0.5,0,0,0,0,0,0
BC03,reduced,September,Elymus repens,2,0,0,0,0,0,0
BC03,reduced,September,Erodium ciconium,0.1,0,0,0,0,0,0
BC03,reduced,September,Erodium cicutarium,0.001,0,0,0,1,1,0
BC03,reduced,September,Festuca arundinacea,0.5,0,0,0,0,0,0
BC03,reduced,September,Festuca ovina,5,0,0,0,0,0,0
BC03,reduced,September,Festuca rubra,17,0,0,0,0,0,0
BC03,reduced,September,Geranium molle,5,0,0,0,1,0,0
BC03,reduced,September,Hypericum perforatum,0.3,0,0,0,1,0,0
BC03,reduced,September,Hypochaeris radicata,0.1,0,0,0,0,0,0
BC03,reduced,September,Lamium purpureum,7,0,0,0,1,0,0
BC03,reduced,September,Lolium perenne,2,0,0,0,0,0,0
BC03,reduced,September,Medicago sativa,20,0,0,0,1,1,0
BC03,reduced,September,Melandrium album,0.5,0,0,0,0,0,0
BC03,reduced,September,Plantago lanceolata,3,0,0,0,0,0,0
BC03,reduced,September,Poa pratensis,0.5,0,0,0,0,0,0
BC03,reduced,September,Potentilla argentea,1,0,0,0,1,1,0
BC03,reduced,September,Potentilla reptans,12,0,0,0,0,0,0
BC03,reduced,September,Potentilla verna,0.5,0,0,0,0,0,0
BC03,reduced,September,Stellaria media,1,0,0,0,1,1,0
BC03,reduced,September,Taraxacum,7,0,0,0,1,1,0
BC03,reduced,September,Trifolium repens,0.1,0,0,0,0,0,0
BC03,reduced,September,Veronica arvensis,0.5,1,0,0,0,0,0
BC03,reduced,September,Vicia sativa,0.5,0,0,0,0,0,0
BC04,regular,July,Acer seedling,0.01,1,0,0,0,0,0
BC04,regular,July,Achillea millefolium,10,0,0,0,1,0,0
BC04,regular,July,Agrimonia,0.01,0,0,0,0,0,0
BC04,regular,July,Anchusa officinalis,0.1,0,0,0,1,0,0
BC04,regular,July,Bellis perennis,2,0,0,0,0,0,0
BC04,regular,July,Carex hirta,0.5,0,0,0,0,0,0
BC04,regular,July,Carex muricata,0.1,0,0,0,1,0,0
BC04,regular,July,Centaurea jacea,0.5,0,0,1,0,0,0
BC04,regular,July,Crepis capillaris,1,0,0,0,1,1,0
BC04,regular,July,Dactylis glomerata,0.2,0,0,0,0,0,0
BC04,regular,July,Erigeron annuus,0.1,0,0,0,0,0,0
BC04,regular,July,Festuca arundinacea,2,0,0,0,0,1,0
BC04,regular,July,Festuca ovina,3,0,0,0,0,1,0
BC04,regular,July,Festuca rubra,10,0,0,0,0,1,0
BC04,regular,July,Galium verum,2,0,0,0,0,0,0
BC04,regular,July,Geranium molle,0.2,0,0,0,1,0,0
BC04,regular,July,Hypericum perforatum,0.7,0,0,0,1,0,0
BC04,regular,July,Hypochaeris radicata,7,0,0,0,1,1,0
BC04,regular,July,Lolium perenne,0.1,0,0,0,0,0,0
BC04,regular,July,Lotus corniculatus,1,0,0,0,0,0,0
BC04,regular,July,Luzula campestris,0.1,0,0,0,0,1,0
BC04,regular,July,Medicago lupulina,5,0,0,0,1,1,0
BC04,regular,July,Medicago sativa,30,0,0,0,1,1,0
BC04,regular,July,Oxalis dillenii,0.01,0,0,0,0,0,0
BC04,regular,July,Plantago lanceolata,10,0,0,0,1,1,0
BC04,regular,July,Plantago media,0.1,0,0,0,0,1,0
BC04,regular,July,Poa pratensis,0.2,0,0,0,0,1,0
BC04,regular,July,Potentilla argentea,0.1,0,0,0,1,1,0
BC04,regular,July,Rumex acetosa,3,0,0,0,0,0,0
BC04,regular,July,Sedum acre,0.2,0,0,0,0,0,0
BC04,regular,July,Tanacetum vulgare,1,0,0,0,0,0,0
BC04,regular,July,Taraxacum,5,0,0,0,0,0,0
BC04,regular,July,Trifolium pratensis,5,0,0,0,1,1,0
BC04,regular,July,Trifolium repens,10,0,0,0,1,1,0
BC04,regular,July,Vicia cracca,0.001,0,0,0,0,0,0
BC04,regular,July,Vicia sativa,0.001,0,0,0,0,0,0
BC04,regular,March,Acer seedling,0.001,1,0,0,0,0,0
BC04,regular,March,Achillea millefolium,3,0,0,0,0,0,0
BC04,regular,March,Agrostis capillaris,0.5,0,0,0,0,0,0
BC04,regular,March,Bellis perennis,1,0,0,0,1,0,0
BC04,regular,March,Cerastium holosteoides,0.01,0,0,0,0,0,0
BC04,regular,March,Dactylis glomerata,0.05,0,0,0,0,0,0
BC04,regular,March,Draba verna,0.01,0,0,0,1,0,0
BC04,regular,March,Festuca arundinacea,2,0,0,0,0,0,0
BC04,regular,March,Festuca ovina,5,0,0,0,0,0,0
BC04,regular,March,Festuca rubra,15,0,0,0,0,0,0
BC04,regular,March,Galium verum,0.01,0,0,0,0,0,0
BC04,regular,March,Geranium molle,0.5,0,0,0,0,0,0
BC04,regular,March,Hypericum perforatum,0.01,0,0,0,0,0,0
BC04,regular,March,Hypochaeris radicata,3,0,0,0,0,0,0
BC04,regular,March,Hypochaeris uniflora,0.01,0,0,0,0,0,0
BC04,regular,March,Lolium perenne,7,0,0,0,0,0,0
BC04,regular,March,Lotus corniculatus,0.01,0,0,0,0,0,0
BC04,regular,March,Luzula campestris,1,0,0,0,1,0,0
BC04,regular,March,Medicago lupulina,0.5,0,0,0,0,0,0
BC04,regular,March,Medicago sativa,2,0,0,0,0,0,0
BC04,regular,March,Myosotis,0.001,0,0,0,0,0,0
BC04,regular,March,Pilosella officinarum,0.01,0,0,0,0,0,0
BC04,regular,March,Plantago lanceolata,2,0,0,0,0,0,0
BC04,regular,March,Plantago media,0.01,0,0,0,0,0,0
