PlotNo,Subplot,MowFreq,Month,n_mow_events_befre_sampling,SR,biomass,evenness,phen_Richness,phen_evenness,FRic,FEve,FDis,Neophytes_SR_propr,Neophytes_mass_propr,Bare_Ground_Cover,Litter_Cover_Total,Litter_Cover,slope_degr,dist_tree,patch_size_m2,Biotop_richness_specific,sky_view_factor,skyview_factor_rayman_p,skyview_factor_jw1984,protected_cover_pct,green_cover_pct,impervious_pct,road_density_km_per_ha,protected_cover_pct_log,green_cover_pct_log,patch_size_m2_scaled,road_density_km_per_ha_scaled
BC02,NW,reduced,May,0,19,1878.3833333333332,7.998977411756112,3,1.7132413914153333,8.42691201455771,0.2087548331235916,2.016284397476958,0.15789473684210523,0.5955475896826171,5,10,10,1,5.8,951.6557392,6,0.795,0.907,0.91,0.193,9.603,35.244,0.145,0.17647114311577908,2.361136979943661,0.1577701982995257,1.6639457114992342
BC02,SE,reduced,May,0,20,1284.875,7.697278394404743,3,2.426759998584246,5.531445599016112,0.24762718284910357,2.5039642562306974,0.05,0.03113143301877614,10,30,30,1,6.1,951.6557392,6,0.795,0.907,0.91,0.193,9.603,35.244,0.145,0.17647114311577908,2.361136979943661,0.1577701982995257,1.6639457114992342
BC02,NW,reduced,July,0,17,4601.08,3.558007972576397,5,1.6560401703181031,8.767095549874757,0.25383525920548566,0.922732081377989,0.17647058823529413,0.9273185136243374,3,15,15,1,5.8,951.6557392,6,0.795,0.907,0.91,0.193,9.603,35.244,0.145,0.17647114311577908,2.361136979943661,0.1577701982995257,1.6639457114992342
BC02,SE,reduced,July,0,16,2277.8333333333335,6.658209861688839,5,2.5851517139024205,5.531445599016112,0.27485931186259066,1.5844281736667942,0.0625,0.4112094826955441,20,30,30,1,6.1,951.6557392,6,0.795,0.907,0.91,0.193,9.603,35.244,0.145,0.17647114311577908,2.361136979943661,0.1577701982995257,1.6639457114992342
BC02,NW,reduced,September,0,20,6832.086666666667,3.064708865065998,4,2.089483062561064,8.767095549874758,0.27777777777777773,0.35673147019284673,0.15,0.936317162253016,2,15,15,1,5.8,951.6557392,6,0.795,0.907,0.91,0.193,9.603,35.244,0.145,0.17647114311577908,2.361136979943661,0.1577701982995257,1.6639457114992342
BC02,SE,reduced,September,0,20,2488,8.253905800362064,4,1.7138304239853157,8.12504539779861,0.20215168615966103,1.1686463170026438,0.05,0.01393354769560557,15,15,15,1,6.1,951.6557392,6,0.795,0.907,0.91,0.193,9.603,35.244,0.145,0.17647114311577908,2.361136979943661,0.1577701982995257,1.6639457114992342
BC03,NW,reduced,March,0,23,905.88,3.0346795252016,2,1.7023552548483414,11.988738640120916,0.22770774363220067,2.048968884681183,0.17391304347826086,0.07550668962776526,0.5,7,7,0,6,798.5023821,10,0.9,0.978,0.979,0.201,10.666,35.787,0.151,0.1831545430978465,2.456678628331446,-0.13761982501836217,1.9209257441632088
BC03,SE,reduced,March,0,20,1024.7888888888888,4.874707493517424,2,1.6558298398983575,12.64994725147605,0.31145285770599196,1.726334778060535,0.15,0.03317756502694322,0,25,25,0,5.2,798.5023821,10,0.9,0.978,0.979,0.201,10.666,35.787,0.151,0.1831545430978465,2.456678628331446,-0.13761982501836217,1.9209257441632088
BC03,NW,reduced,May,0,26,4464.8983333333335,6.540443780566804,3,1.987166158276268,11.98873864012092,0.13033468325970377,2.4882508595727377,0.15384615384615383,0.3119219959842311,5,50,50,0,6,798.5023821,10,0.9,0.978,0.979,0.201,10.666,35.787,0.151,0.1831545430978465,2.456678628331446,-0.13761982501836217,1.9209257441632088
BC03,SE,reduced,May,0,18,3093.5666666666666,7.961187663545745,3,1.787595201046876,12.64994725147605,0.28917222791597624,2.126724316024561,0.1111111111111111,0.2603251909877488,2,60,60,0,5.2,798.5023821,10,0.9,0.978,0.979,0.201,10.666,35.787,0.151,0.1831545430978465,2.456678628331446,-0.13761982501836217,1.9209257441632088
BC03,NW,reduced,July,0,22,2602.6433333333334,7.434174028042448,4,2.1220860534101345,12.32892217543797,0.06697134801061345,2.410499720568481,0.13636363636363635,0.5603277693319485,2,10,10,0,6,798.5023821,10,0.9,0.978,0.979,0.201,10.666,35.787,0.151,0.1831545430978465,2.456678628331446,-0.13761982501836217,1.9209257441632088
BC03,SE,reduced,July,0,17,2610.39,5.085851917361261,4,1.8402795060651416,11.988738640120918,0.00217364846434187,2.1243966788829987,0.1176470588235294,0.4727262976030402,1,25,25,0,5.2,798.5023821,10,0.9,0.978,0.979,0.201,10.666,35.787,0.151,0.1831545430978465,2.456678628331446,-0.13761982501836217,1.9209257441632088
BC03,NW,reduced,September,1,23,1284.8583333333331,6.427801579363776,4,2.9540530892647,8.426912014557711,0.1904761904761905,2.3452581564128736,0.13043478260869565,0.5204205392293574,1,65,15,0,6,798.5023821,10,0.9,0.978,0.979,0.201,10.666,35.787,0.151,0.1831545430978465,2.456678628331446,-0.13761982501836217,1.9209257441632088
BC03,SE,reduced,September,1,17,1469.3666666666668,7.692798785032272,3,2.330753985677509,11.98873864012092,0.32609217503298443,2.1907652177663253,0.1176470588235294,0.236383022163744,1,40,20,0,5.2,798.5023821,10,0.9,0.978,0.979,0.201,10.666,35.787,0.151,0.1831545430978465,2.456678628331446,-0.13761982501836217,1.9209257441632088
BC04,NW,regular,March,0,19,251.31333333333333,5.905800445627329,3,1.0104799928692187,7.42036826921906,0.183260823142065,1.4733283802004675,0,0,1,25,25,2,5.8,1947.770695,8,0.851,0.943,0.945,0.201,10.497,35.547,0.147,0.1831545430978465,2.442086131771603,2.078997558852492,1.7496057223872257
BC04,SE,regular,March,0,25,227.49444444444444,6.486655110868793,2,1.0159497547185528,9.418724931590404,0.1298020528216806,1.7854106712553448,0.04,0.00351656939119392,2,20,20,2,6.5,1947.770695,8,0.851,0.943,0.945,0.201,10.497,35.547,0.147,0.1831545430978465,2.442086131771603,2.078997558852492,1.7496057223872257
BC04,NW,regular,May,0,27,749.0348333333333,6.307234408081052,4,2.9262036989356974,8.407753555278749,0.12852188117733562,2.1003824303863774,0.03703703703703703,0.0498419187892686,1,20,20,2,5.8,1947.770695,8,0.851,0.943,0.945,0.201,10.497,35.547,0.147,0.1831545430978465,2.442086131771603,2.078997558852492,1.7496057223872257
BC04,SE,regular,May,0,33,1310.5415,9.02279282940374,5,2.4558742064607997,17.707072611283373,0.1935483870967742,2.1188965982808288,0.0303030303030303,0.14243476201758332,10,20,20,2,6.5,1947.770695,8,0.851,0.943,0.945,0.201,10.497,35.547,0.147,0.1831545430978465,2.442086131771603,2.078997558852492,1.7496057223872257
BC04,NW,regular,July,1,25,1837.493333333333,9.835287899920807,5,2.4163606780161317,18.28664286920364,0.19270247856298509,1.9952397354421505,0.08,0.25257234493367775,2,15,15,2,5.8,1947.770695,8,0.851,0.943,0.945,0.201,10.497,35.547,0.147,0.1831545430978465,2.442086131771603,2.078997558852492,1.7496057223872257
BC04,SE,regular,July,1,17,1237.3333333333337,6.703222159412097,3,2.2624191991325304,3.2164914915796854,0.13333333333333333,1.7128503397111257,0.0588235294117647,0.03124999999999999,7,15,15,2,6.5,1947.770695,8,0.851,0.943,0.945,0.201,10.497,35.547,0.147,0.1831545430978465,2.442086131771603,2.078997558852492,1.7496057223872257
BC04,NW,regular,September,2,25,1118.05,8.383341090246288,4,1.8750741713565025,18.28664286920363,0.15523182905372165,1.627436673850632,0.04,0.05545369169536246,3,15,5,2,5.8,1947.770695,8,0.851,0.943,0.945,0.201,10.497,35.547,0.147,0.1831545430978465,2.442086131771603,2.078997558852492,1.7496057223872257
BC04,SE,regular,September,2,26,1019.0083333333332,6.884039820166987,4,2.106575460862449,16.124764183098115,0.06444335764312574,1.9269942927427213,0.03846153846153846,0.08112462279503767,8,15,5,2,6.5,1947.770695,8,0.851,0.943,0.945,0.201,10.497,35.547,0.147,0.1831545430978465,2.442086131771603,2.078997558852492,1.7496057223872257
BC05,NW,reduced & sowing,March,0,24,318.78,4.3380900877024695,3,1.0355501109209118,19.323024731847116,0.0520963694168109,1.6135497672862005,0,0,1,30,30,0,8.9,624.2682999,10,0.83,0.932,0.934,4.036,19.463,35.745,0.107,1.6166121161821005,3.018618377340692,-0.4736686755193924,0.03640550462739653
BC05,SE,reduced & sowing,March,0,28,374.1376666666667,4.9932820505452105,2,1.0314850354581395,9.768487696546938,0.2084771468939266,1.9196671135490797,0.03571428571428571,1.6036877691188537e-5,1,30,30,0,5.7,624.2682999,10,0.83,0.932,0.934,4.036,19.463,35.745,0.107,1.6166121161821005,3.018618377340692,-0.4736686755193924,0.03640550462739653
BC05,NW,reduced & sowing,May,0,32,2176.9,9.912595659922424,4,2.0851855062940174,22.9040098166893,0.09405277658299112,2.47421471215197,0.03125,0.1041236008391137,1,30,30,0,8.9,624.2682999,10,0.83,0.932,0.934,4.036,19.463,35.745,0.107,1.6166121161821005,3.018618377340692,-0.4736686755193924,0.03640550462739653
BC05,SE,reduced & sowing,May,0,37,3072.1266666666666,11.752489102887427,5,1.7640182428418187,22.904009816689427,0.1183172447543921,2.5502343642839413,0.02702702702702703,0.1844542000221345,1,30,30,0,5.7,624.2682999,10,0.83,0.932,0.934,4.036,19.463,35.745,0.107,1.6166121161821005,3.018618377340692,-0.4736686755193924,0.03640550462739653
BC05,NW,reduced & sowing,July,0,22,2107.2083333333335,6.049079603014454,4,2.154320939755472,7.793717124427554,0.2,2.533535693349704,0,0,5,35,35,0,8.9,624.2682999,10,0.83,0.932,0.934,4.036,19.463,35.745,0.107,1.6166121161821005,3.018618377340692,-0.4736686755193924,0.03640550462739653
BC05,SE,reduced & sowing,July,0,24,2699.725,5.456940175111766,4,2.117077664930539,8.781102410487245,0.21076165929386512,2.262686640760399,0,0,1,25,25,0,5.7,624.2682999,10,0.83,0.932,0.934,4.036,19.463,35.745,0.107,1.6166121161821005,3.018618377340692,-0.4736686755193924,0.03640550462739653
BC05,NW,reduced & sowing,September,0,27,1692.2353333333333,5.983462132576928,4,2.1385195244615836,9.768487696546934,0.2,1.9820887304066763,0.03703703703703703,0.02541017738667553,1,35,35,0,8.9,624.2682999,10,0.83,0.932,0.934,4.036,19.463,35.745,0.107,1.6166121161821005,3.018618377340692,-0.4736686755193924,0.03640550462739653
BC05,SE,reduced & sowing,September,0,26,2119.866666666667,7.817468472140106,4,2.109221188929356,9.768487696546938,0.20833333333333331,2.1237822346487687,0.03846153846153846,0.03380715768287314,2,25,25,0,5.7,624.2682999,10,0.83,0.932,0.934,4.036,19.463,35.745,0.107,1.6166121161821005,3.018618377340692,-0.4736686755193924,0.03640550462739653
BC06,NW,regular,March,0,23,165.70666666666665,6.854553245740719,2,1.0121423517299228,8.767095549874757,0.04481621288431474,1.242217536093484,0.04347826086956521,0.00301738010943031,15,7,7,2,6.8,743.4358805,7,0.974,0.997,0.998,0,3.273,41.41,0.113,0,1.4523161566618878,-0.2438277168965513,0.2933855372913712
BC06,SE,regular,March,0,18,125.81180555555557,3.737541528239203,2,1.001590939471131,9.088120625912836,0.29036744613842186,1.845289741692588,0.05555555555555555,7.94837968968201e-4,8,15,15,3,9.5,743.4358805,7,0.974,0.997,0.998,0,3.273,41.41,0.113,0,1.4523161566618878,-0.2438277168965513,0.2933855372913712
BC06,NW,regular,May,0,24,791.8097222222221,6.182971077093195,3,2.548249608820316,9.418724931590411,0.16132335721714286,1.9689932464222488,0.04166666666666666,0.1313446868372908,15,10,10,2,6.8,743.4358805,7,0.974,0.997,0.998,0,3.273,41.41,0.113,0,1.4523161566618878,-0.2438277168965513,0.2933855372913712
BC06,SE,regular,May,0,21,850.0466666666666,6.296123279638903,3,2.97071614413839,8.407753555278742,0.2105263157894737,1.6195448762934368,0,0,20,35,35,3,9.5,743.4358805,7,0.974,0.997,0.998,0,3.273,41.41,0.113,0,1.4523161566618878,-0.2438277168965513,0.2933855372913712
BC06,NW,regular,July,1,21,648.665,5.341086018581554,5,1.9134844556575408,7.420368269219066,0.06501039708274525,1.5794835628835633,0,0,10,12,12,2,6.8,743.4358805,7,0.974,0.997,0.998,0,3.273,41.41,0.113,0,1.4523161566618878,-0.2438277168965513,0.2933855372913712
BC06,SE,regular,July,1,16,601,5.610383626752024,4,1.715703248759657,7.0853363325684775,0.11935137126851814,1.5910201824128951,0,0,20,15,15,3,9.5,743.4358805,7,0.974,0.997,0.998,0,3.273,41.41,0.113,0,1.4523161566618878,-0.2438277168965513,0.2933855372913712
BC06,NW,regular,September,3,26,891.6133333333333,8.073973016586423,5,1.9788935826184064,9.758908466907458,0.2495396936387027,1.8178178879883164,0.03846153846153846,0.04149780921475677,3,8,8,2,6.8,743.4358805,7,0.974,0.997,0.998,0,3.273,41.41,0.113,0,1.4523161566618878,-0.2438277168965513,0.2933855372913712
BC06,SE,regular,September,3,23,930.6076666666664,6.163127671240005,4,1.4347388007629585,9.758908466907451,0.21070664776478631,1.4513758677970294,0,0,7,15,15,3,9.5,743.4358805,7,0.974,0.997,0.998,0,3.273,41.41,0.113,0,1.4523161566618878,-0.2438277168965513,0.2933855372913712
BC07,N,reduced,March,0,27,159.82,9.507363311208136,4,1.4445372628032995,9.452614219175343,0.2564949567053348,2.4819073778791085,0.1111111111111111,0.1272890334960163,5,10,10,5,14.6,506.2246684,7,0.882,0.956,0.957,0,3.031,41.185,0.116,0,1.3940144841350288,-0.7013418504439607,0.4218755536233585
BC07,S,reduced,March,0,25,168.95666666666668,6.062993280126879,4,1.063131970331496,5.8716291343331655,0.12884277352977305,2.3204482116044436,0.16,0.069702290528143293,0.1,8,8,7,17.9,506.2246684,7,0.882,0.956,0.957,0,3.031,41.185,0.116,0,1.3940144841350288,-0.7013418504439607,0.4218755536233585
BC07,N,reduced,May,0,16,575.2,6.847622617151305,4,2.181396504131019,8.484387392394623,0.3238650932232415,2.1604672105393012,0.125,0.4470908669448308,25,15,15,5,14.6,506.2246684,7,0.882,0.956,0.957,0,3.031,41.185,0.116,0,1.3940144841350288,-0.7013418504439607,0.4218755536233585
BC07,S,reduced,May,0,18,371.97066666666666,7.846340467617736,4,3.1907566775954814,4.903402307552444,0.27493902306604573,2.659673210290245,0.16666666666666666,0.18209321165109793,15,15,15,7,17.9,506.2246684,7,0.882,0.956,0.957,0,3.031,41.185,0.116,0,1.3940144841350288,-0.7013418504439607,0.4218755536233585
BC07,N,reduced,July,1,16,2957.266666666667,4.224708279254345,4,2.0287606451164324,12.32892217543797,0.12144466328190592,2.259772417374746,0.125,0.43486102031154894,10,35,35,5,14.6,506.2246684,7,0.882,0.956,0.957,0,3.031,41.185,0.116,0,1.3940144841350288,-0.7013418504439607,0.4218755536233585
BC07,S,reduced,July,1,21,2256.09,4.715600299448739,4,1.9585635591636157,8.484387392394636,0.08775581651459467,2.6440518637192225,0.14285714285714285,0.24555757970648331,7,30,30,7,17.9,506.2246684,7,0.882,0.956,0.957,0,3.031,41.185,0.116,0,1.3940144841350288,-0.7013418504439607,0.4218755536233585
BC07,N,reduced,September,0,24,984.2616666666668,8.20753089211475,4,2.64951622685068,12.328922175437972,0.2145399512601164,2.1355121301034012,0.08333333333333333,0.4074119856339016,5,25,25,5,14.6,506.2246684,7,0.882,0.956,0.957,0,3.031,41.185,0.116,0,1.3940144841350288,-0.7013418504439607,0.4218755536233585
BC07,S,reduced,September,0,26,874,10.271536871123365,4,2.150583514297693,8.484387392394632,0.21974499624527488,2.182350801304457,0.15384615384615383,0.5554919908466819,3,20,20,7,17.9,506.2246684,7,0.882,0.956,0.957,0,3.031,41.185,0.116,0,1.3940144841350288,-0.7013418504439607,0.4218755536233585
BC08,NW,regular,March,0,10,300.52000000000004,2.279160422591683,2,1.2008879147249374,5.762919109858217,0.26889282440205076,0.8293752224179455,0,0,15,7,7,0,18.1,1435.380026,4,0.971,0.999,0.999,0,2.932,39.168,0.118,0,1.3691482022849202,1.0907391587120867,0.5075355645113495
BC08,SE,regular,March,0,13,406.71,1.6913677239863008,2,1.118232961872555,7.104494791847445,0.04132802172708087,0.4834794310958812,0,0,8,2,2,0,16.7,1435.380026,4,0.971,0.999,0.999,0,2.932,39.168,0.118,0,1.3691482022849202,1.0907391587120867,0.5075355645113495
BC08,NW,regular,May,0,9,1414.183333333333,2.372154995023055,2,1.0099725105418813,10.982194894782252,0.24411336006062329,1.2354851503327262,0,0,10,20,20,0,18.1,1435.380026,4,0.971,0.999,0.999,0,2.932,39.168,0.118,0,1.3691482022849202,1.0907391587120867,0.5075355645113495
BC08,SE,regular,May,0,10,1598.4,3.723695770902097,2,1.0374629456426945,10.982194894782252,0.40589155658037,1.0763706556230488,0,0,20,5,5,0,16.7,1435.380026,4,0.971,0.999,0.999,0,2.932,39.168,0.118,0,1.3691482022849202,1.0907391587120867,0.5075355645113495
BC08,NW,regular,July,1,9,764.12,3.1265212411516456,4,2.683404409647952,11.98873864012091,0.33595988113256625,1.9348991703992144,0,0,5,30,10,0,18.1,1435.380026,4,0.971,0.999,0.999,0,2.932,39.168,0.118,0,1.3691482022849202,1.0907391587120867,0.5075355645113495
BC08,SE,regular,July,1,8,694.8100000000001,2.637982058737512,4,3.000823215785544,8.091880077907138,0.06561784828954509,1.8121788578342215,0,0,6,35,10,0,16.7,1435.380026,4,0.971,0.999,0.999,0,2.932,39.168,0.118,0,1.3691482022849202,1.0907391587120867,0.5075355645113495
BC08,NW,regular,September,3,13,570.4872222222222,2.849004055333917,3,2.1179586950247464,11.988738640120912,0.26902261186140064,1.9245082139337808,0.07692307692307693,6.135106736249815e-4,10,30,25,0,18.1,1435.380026,4,0.971,0.999,0.999,0,2.932,39.168,0.118,0,1.3691482022849202,1.0907391587120867,0.5075355645113495
BC08,SE,regular,September,3,8,602.1266666666667,2.9126014174585144,3,2.111422761010153,8.091880077907138,0.1944672480112483,2.054582033033086,0,0,5,15,15,0,16.7,1435.380026,4,0.971,0.999,0.999,0,2.932,39.168,0.118,0,1.3691482022849202,1.0907391587120867,0.5075355645113495
BC09,NW,reduced,March,0,19,73.30333333333334,5.148079890513138,3,1.106284027997854,19.634790711702244,0.26125638131333173,1.854725408637488,0,0,0,15,15,0,8.2,220.4589192,8,0.819,0.906,0.908,0.044,3.158,38.546,0.117,0.04305948946044697,1.4250341894358212,-1.252504116280063,0.4647055590673543
BC09,SE,reduced,March,0,13,51.163333333333334,6.268698108071323,2,1.0015648422317014,16.69195169100361,0.19435463375270717,1.660192268888519,0,0,0,15,15,0,5.7,220.4589192,8,0.819,0.906,0.908,0.044,3.158,38.546,0.117,0.04305948946044697,1.4250341894358212,-1.252504116280063,0.4647055590673543
BC09,NW,reduced,May,0,22,1031.6166666666666,5.000942661584491,3,1.2845203753708772,19.634790711702244,0.20482516664697029,1.315682054965014,0.04545454545454545,0.7560948026560254,6,7,7,0,8.2,220.4589192,8,0.819,0.906,0.908,0.044,3.158,38.546,0.117,0.04305948946044697,1.4250341894358212,-1.252504116280063,0.4647055590673543
BC09,SE,reduced,May,0,13,857.6666666666666,7.552500828088771,3,2.1352053186546875,16.69195169100361,0.326763956691734,1.941171212378302,0,0,0,15,15,0,5.7,220.4589192,8,0.819,0.906,0.908,0.044,3.158,38.546,0.117,0.04305948946044697,1.4250341894358212,-1.252504116280063,0.4647055590673543
BC09,NW,reduced,July,0,21,1857.1,9.276300052869368,3,2.6966206880875823,8.426912014557706,0.2105263157894737,2.064903366051015,0.04761904761904761,0.38052160178055394,2,10,10,0,8.2,220.4589192,8,0.819,0.906,0.908,0.044,3.158,38.546,0.117,0.04305948946044697,1.4250341894358212,-1.252504116280063,0.4647055590673543
BC09,SE,reduced,July,0,14,1166.6933333333334,6.4397808972726205,4,2.949389479024063,9.936537742870849,0.14608681833136128,2.037589150932366,0,0,1,7,7,0,5.7,220.4589192,8,0.819,0.906,0.908,0.044,3.158,38.546,0.117,0.04305948946044697,1.4250341894358212,-1.252504116280063,0.4647055590673543
BC09,NW,reduced,September,1,25,1406.845,8.234190903235278,4,1.9345184279598484,21.241163602626496,0.10825335213291588,2.0950457199633794,0.04,0.3933150655070981,0,13,13,0,8.2,220.4589192,8,0.819,0.906,0.908,0.044,3.158,38.546,0.117,0.04305948946044697,1.4250341894358212,-1.252504116280063,0.4647055590673543
BC09,SE,reduced,September,1,14,1148.0166666666669,5.712551858781419,3,1.6478239196284976,7.7797102638150655,0.2456573270557494,1.7313800234532886,0,0,1,11,11,0,5.7,220.4589192,8,0.819,0.906,0.908,0.044,3.158,38.546,0.117,0.04305948946044697,1.4250341894358212,-1.252504116280063,0.4647055590673543
BC10,NW,reduced & sowing,March,0,34,235.93166666666667,7.5004516629719324,3,1.0670379688066152,13.34947278138913,0.17016152420098735,1.5629530389933664,0.14705882352941177,0.06470800161063585,20,20,20,3,4.8,470.8491718,7,0.793,0.843,0.843,0,5.332,39.584,0.106,0,1.8456161420187658,-0.7695712968199412,-0.006424500816599247
BC10,SE,reduced & sowing,March,0,35,232.51666666666668,13.57970189608839,3,1.2038619586918036,14.010681392744251,0.14595717359295263,2.2690688302989184,0.08571428571428572,0.2567557881155473,20,15,15,5,4.4,470.8491718,7,0.793,0.843,0.843,0,5.332,39.584,0.106,0,1.8456161420187658,-0.7695712968199412,-0.006424500816599247
BC10,NW,reduced & sowing,May,0,31,3414.675,11.440230818808782,4,2.2625052438311655,14.010681392744251,0.2248449635180177,1.4292825567324567,0.16129032258064516,0.2271568060405944,20,20,20,3,4.8,470.8491718,7,0.793,0.843,0.843,0,5.332,39.584,0.106,0,1.8456161420187658,-0.7695712968199412,-0.006424500816599247
BC10,SE,reduced & sowing,May,0,35,4900.275,9.970451669622712,4,1.4310129841865271,14.010681392744251,0.18291598808586415,2.1864818902106324,0.08571428571428572,0.5036792152821356,20,16,16,5,4.4,470.8491718,7,0.793,0.843,0.843,0,5.332,39.584,0.106,0,1.8456161420187658,-0.7695712968199412,-0.006424500816599247
BC10,NW,reduced & sowing,July,0,26,2351.5533333333333,6.165120268588059,4,1.7419968651861455,13.349472781389126,0.16175884830713302,0.5676460991767779,0.19230769230769232,0.06658010449830325,20,15,15,3,4.8,470.8491718,7,0.793,0.843,0.843,0,5.332,39.584,0.106,0,1.8456161420187658,-0.7695712968199412,-0.006424500816599247
BC10,SE,reduced & sowing,July,0,27,2258.7,8.055936945498527,4,1.9065808985285897,13.004137647405592,0.13841896446219165,1.9351650582322208,0.07407407407407407,0.3777984386298904,20,10,10,5,4.4,470.8491718,7,0.793,0.843,0.843,0,5.332,39.584,0.106,0,1.8456161420187658,-0.7695712968199412,-0.006424500816599247
BC10,NW,reduced & sowing,September,1,24,1550.6933333333334,4.574824474555645,4,2.9712076016189637,10.429696307902072,0.23423113272161256,0.6008624251135621,0.16666666666666666,0.11048821172464789,15,15,15,3,4.8,470.8491718,7,0.793,0.843,0.843,0,5.332,39.584,0.106,0,1.8456161420187658,-0.7695712968199412,-0.006424500816599247
BC10,SE,reduced & sowing,September,1,26,1625.225,11.105032547019633,4,2.415778548859128,13.349472781389125,0.01882847234819627,1.9391835406370332,0.07692307692307693,0.32815969070949147,10,10,10,5,4.4,470.8491718,7,0.793,0.843,0.843,0,5.332,39.584,0.106,0,1.8456161420187658,-0.7695712968199412,-0.006424500816599247
BC11,NW,regular,March,0,12,179.27761904761903,2.6627151877275335,3,1.0114450096140095,4.2230352369183395,0.2141455705209506,0.7814364721354029,0,0,35,20,20,5,9.6,2049.628544,7,0.841,0.95,0.952,0,5.36,39.058,0.104,0,1.8500283773520307,2.2754528828554412,-0.0920845117045908
BC11,SE,regular,March,0,11,166.04333333333335,3.010296624006469,3,1.0122402363883338,4.223035236918339,0.16804478347315166,0.9897358447311408,0,0,15,15,15,1,6.7,2049.628544,7,0.841,0.95,0.952,0,5.36,39.058,0.104,0,1.8500283773520307,2.2754528828554412,-0.0920845117045908
BC11,NW,regular,May,0,16,737.0666666666667,3.4534350677676846,3,1.1118068343670582,4.2230352369183395,0.1826424531844988,1.5454507641640982,0,0,12,15,15,5,9.6,2049.628544,7,0.841,0.95,0.952,0,5.36,39.058,0.104,0,1.8500283773520307,2.2754528828554412,-0.0920845117045908
