PlotNo,Subplot,Month,Layer,Taxon,EuroMed,cover,height,Biomass,Seedling,Juvenile,FlowerBud,Flowering,Fruiting,PostFruiting,Vegetative,MowFreq,n_mow_events_befre_sampling,status,functional_group,lifespan_annual,lifespan_biennialOrShortLived,lifespan_perennial,raunkiaer_phanerophyte,raunkiaer_chamaephyte,raunkiaer_hemicryptophyte,raunkiaer_geophyte,raunkiaer_hydrophyte,raunkiaer_therophyte,lifeform_tree,lifeform_shrub,lifeform_semishrub,lifeform_herbPoli,lifeform_herbMono,lifeform_epiphyte,lifeform_lianaWoody,lifeform_lianaHerb,Disturbance.Severity,Disturbance.Frequency,Mowing.Frequency,Grazing.Pressure,Soil.Disturbance,Neophyte,Endangered,phen_sum,Annuals,ShortLived,Perennials,Neophytes,Endangereds
BC01,NW,March,H,Poa compressa,Poa compressa,0.1,4,0.4,0,0,0,0,0,0,0.4,regular,0,NotEndangered,graminoid,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.5898,0.9391,0.49914,0.25017,0.26404,0,0,1,0,0,0.4,0,0
BC01,NW,March,H,Rumex acetosa,Rumex acetosa,3,3.3333333333333335,10,0,0,0,0,0,0,10,regular,0,Warning,other_forb,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.51255,1.42792,1.00937,0.22916,0.30884,0,0,1,0,0,10,0,0
BC01,NW,March,H,Trifolium dubium,Trifolium dubium,0.5,1.5,0.75,0,0,0,0,0,0,0.75,regular,0,NotEndangered,legume,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.50969,1.97957,1.1694,0.28385,0.36995,0,0,1,0.75,0,0,0,0
BC01,SE,March,H,Agrostis capillaris,Agrostis capillaris,15,3.6666666666666665,55,0,0,0,0,0,0,55,regular,0,NotEndangered,graminoid,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.52099,0.86379,0.57578,0.29897,0.2949,0,0,1,0,0,55,0,0
BC01,SE,March,H,Bellis perennis,Bellis perennis,0.5,1,0.5,0,0,0,0.5,0,0,0,regular,0,NotEndangered,other_forb,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.51276,1.51667,0.98959,0.46997,0.3594,0,0,1,0,0,0.5,0,0
BC01,SE,March,H,Cerastium holosteoides,Cerastium fontanum subsp. vulgare,0.01,2,0.02,0,0,0,0,0,0,0.02,regular,0,NotEndangered,other_forb,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.52096,1.6913,0.99164,0.33346,0.36216,0,0,1,0,0.02,0.02,0,0
BC01,SE,March,H,Festuca rubra,Festuca rubra,15,5.333333333333333,80,0,0,0,0,0,0,80,regular,0,NotEndangered,graminoid,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.49144,1.23162,0.61897,0.28728,0.29737,0,0,1,0,0,80,0,0
BC01,SE,March,H,Geranium molle,Geranium molle,0.1,1,0.1,0,0,0,0,0,0,0.1,regular,0,NotEndangered,other_forb,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.62987,1.27995,0.6275,0.3036,0.42608,0,0,1,0.1,0,0,0,0
BC01,SE,March,H,Holcus lanatus,Holcus lanatus,2,6,12,0,0,0,0,0,0,12,regular,0,NotEndangered,graminoid,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.51067,1.23473,0.81709,0.28699,0.29055,0,0,1,0,0,12,0,0
BC01,SE,March,H,Hypochaeris radicata,Hypochaeris radicata,1,1,1,0,0,0,0,0,0,1,regular,0,NotEndangered,other_forb,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.48868,1.4426,0.7278,0.33931,0.35628,0,0,1,0,0,1,0,0
BC01,SE,March,H,Pilosella officinarum,Pilosella officinarum,7,1,7,0,0,0,0,0,0,7,regular,0,NotEndangered,other_forb,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.49844,0.87434,0.48166,0.30793,0.22925,0,0,1,0,0,7,0,0
BC01,SE,March,H,Plantago lanceolata,Plantago lanceolata,1,2.0952380952380953,2.0952380952380953,0,0,0,0,0,0,2.0952380952380953,regular,0,NotEndangered,other_forb,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.52518,1.61045,0.96495,0.27897,0.32911,0,0,1,0,0,2.0952380952380953,0,0
BC01,SE,March,H,Poa compressa,Poa compressa,0.5,4,2,0,0,0,0,0,0,2,regular,0,NotEndangered,graminoid,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.5898,0.9391,0.49914,0.25017,0.26404,0,0,1,0,0,2,0,0
BC01,SE,March,H,Rumex acetosa,Rumex acetosa,5,3.3333333333333335,16.666666666666668,0,0,0,0,0,0,16.666666666666668,regular,0,Warning,other_forb,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.51255,1.42792,1.00937,0.22916,0.30884,0,0,1,0,0,16.666666666666668,0,0
BC01,SE,March,H,Trifolium dubium,Trifolium dubium,0.5,1.5,0.75,0,0,0,0,0,0,0.75,regular,0,NotEndangered,legume,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.50969,1.97957,1.1694,0.28385,0.36995,0,0,1,0.75,0,0,0,0
BC01,SE,March,H,Trifolium pratensis,Trifolium pratense,1,2,2,0,0,0,0,0,0,2,regular,0,NotEndangered,legume,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.51602,1.37487,0.89491,0.26179,0.32262,0,0,1,0,0,2,0,0
BC01,SE,March,H,Trifolium repens,Trifolium repens,10,2.3333333333333335,23.333333333333336,0,0,0,0,0,0,23.333333333333336,regular,0,NotEndangered,legume,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0.53223,1.73719,0.94278,0.39374,0.35054,0,0,1,0,0,23.333333333333336,0,0
BC01,NW,May,H,Achillea millefolium,Achillea millefolium (aggr.),15,6.333333333333333,95,0,0,0,0,0,0,95,regular,0,NotEndangered,other_forb,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.54139,1.31363,0.8112,0.25085,0.32953,0,0,1,0,0,95,0,0
BC01,NW,May,H,Agrostis capillaris,Agrostis capillaris,20,9,180,0,0,0,180,0,0,0,regular,0,NotEndangered,graminoid,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.52099,0.86379,0.57578,0.29897,0.2949,0,0,1,0,0,180,0,0
BC01,NW,May,H,Bellis perennis,Bellis perennis,3,8.666666666666666,26,0,0,0,26,0,0,0,regular,0,NotEndangered,other_forb,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.51276,1.51667,0.98959,0.46997,0.3594,0,0,1,0,0,26,0,0
BC01,NW,May,H,Bromus mollis,Bromus hordeaceus,3,12,36,0,0,0,0,36,0,0,regular,0,NotEndangered,graminoid,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.55139,1.75426,0.95232000000000006,0.27891,0.39876,0,0,1,36,0,0,0,0
BC01,NW,May,H,Carex hirta,Carex hirta,3,7,21,0,0,0,21,0,0,0,regular,0,NotEndangered,graminoid,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0.52271,1.29975,0.85594,0.32101,0.24412,0,0,1,0,0,21,0,0
BC01,NW,May,H,Crepis capillaris,Crepis capillaris,1,9,9,0,0,0,0,0,0,9,regular,0,NotEndangered,other_forb,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0.52833,1.63653,0.96127,0.27844,0.39266,0,0,1,9,9,0,0,0
BC01,NW,May,H,Festuca ovina,Festuca ovina,10,26,260,0,0,0,0,260,0,0,regular,0,NotEndangered,graminoid,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.52087,0.57174,0.29247,0.27496,0.19646,0,0,1,0,0,260,0,0
BC01,NW,May,H,Geranium molle,Geranium molle,2,5.666666666666667,11.333333333333334,0,0,0,11.333333333333334,0,0,0,regular,0,NotEndangered,other_forb,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.62987,1.27995,0.6275,0.3036,0.42608,0,0,1,11.333333333333334,0,0,0,0
BC01,NW,May,H,Holcus lanatus,Holcus lanatus,7,16,112,0,0,0,112,0,0,0,regular,0,NotEndangered,graminoid,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.51067,1.23473,0.81709,0.28699,0.29055,0,0,1,0,0,112,0,0
BC01,NW,May,H,Hypochaeris radicata,Hypochaeris radicata,5,3.6666666666666665,18.333333333333332,0,0,0,18.333333333333332,0,0,0,regular,0,NotEndangered,other_forb,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.48868,1.4426,0.7278,0.33931,0.35628,0,0,1,0,0,18.333333333333332,0,0
BC01,NW,May,H,Plantago lanceolata,Plantago lanceolata,8,9.333333333333334,74.66666666666667,0,0,0,74.66666666666667,0,0,0,regular,0,NotEndangered,other_forb,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.52518,1.61045,0.96495,0.27897,0.32911,0,0,1,0,0,74.66666666666667,0,0
BC01,NW,May,H,Poa compressa,Poa compressa,1,12,12,0,0,0,6,6,0,0,regular,0,NotEndangered,graminoid,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.5898,0.9391,0.49914,0.25017,0.26404,0,0,2,0,0,12,0,0
BC01,NW,May,H,Rumex acetosa,Rumex acetosa,10,11.333333333333334,113.33333333333334,0,0,0,0,0,0,113.33333333333334,regular,0,Warning,other_forb,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.51255,1.42792,1.00937,0.22916,0.30884,0,0,1,0,0,113.33333333333334,0,0
BC01,NW,May,H,Trifolium dubium,Trifolium dubium,5,5,25,0,0,0,25,0,0,0,regular,0,NotEndangered,legume,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.50969,1.97957,1.1694,0.28385,0.36995,0,0,1,25,0,0,0,0
BC01,NW,May,H,Veronica arvensis,Veronica arvensis,0.001,3,0.003,0,0,0,0,0.003,0,0,regular,0,NotEndangered,other_forb,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.64871,1.70759,0.56937,0.21649,0.54803,0,0,1,0.003,0,0,0,0
BC01,NW,May,H,Vicia lathyroides,Vicia lathyroides,1,9.333333333333334,9.333333333333334,0,0,0,0,9.333333333333334,0,0,regular,0,NotEndangered,legume,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.46977,1.10195,0.42632,0.30568,0.32815,0,0,1,9.333333333333334,0,0,0,0
BC01,SE,May,H,Agrostis capillaris,Agrostis capillaris,17,9,153,0,0,0,153,0,0,0,regular,0,NotEndangered,graminoid,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.52099,0.86379,0.57578,0.29897,0.2949,0,0,1,0,0,153,0,0
BC01,SE,May,H,Bellis perennis,Bellis perennis,3,8.666666666666666,26,0,0,0,26,0,0,0,regular,0,NotEndangered,other_forb,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.51276,1.51667,0.98959,0.46997,0.3594,0,0,1,0,0,26,0,0
BC01,SE,May,H,Bromus mollis,Bromus hordeaceus,2,12,24,0,0,0,0,24,0,0,regular,0,NotEndangered,graminoid,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.55139,1.75426,0.95232000000000006,0.27891,0.39876,0,0,1,24,0,0,0,0
BC01,SE,May,H,Carex hirta,Carex hirta,1,7,7,0,0,0,7,0,0,0,regular,0,NotEndangered,graminoid,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0.52271,1.29975,0.85594,0.32101,0.24412,0,0,1,0,0,7,0,0
BC01,SE,May,H,Cerastium holosteoides,Cerastium fontanum subsp. vulgare,0.5,2,1,0,0,0,0,0,0,1,regular,0,NotEndangered,other_forb,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.52096,1.6913,0.99164,0.33346,0.36216,0,0,1,0,1,1,0,0
BC01,SE,May,H,Crepis capillaris,Crepis capillaris,1,9,9,0,0,0,0,0,0,9,regular,0,NotEndangered,other_forb,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0.52833,1.63653,0.96127,0.27844,0.39266,0,0,1,9,9,0,0,0
BC01,SE,May,H,Festuca rubra,Festuca rubra,20,20.666666666666668,413.33333333333337,0,0,0,0,413.33333333333337,0,0,regular,0,NotEndangered,graminoid,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.49144,1.23162,0.61897,0.28728,0.29737,0,0,1,0,0,413.33333333333337,0,0
BC01,SE,May,H,Geranium molle,Geranium molle,1,5.666666666666667,5.666666666666667,0,0,0,5.666666666666667,0,0,0,regular,0,NotEndangered,other_forb,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.62987,1.27995,0.6275,0.3036,0.42608,0,0,1,5.666666666666667,0,0,0,0
BC01,SE,May,H,Holcus lanatus,Holcus lanatus,10,16,160,0,0,0,160,0,0,0,regular,0,NotEndangered,graminoid,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.51067,1.23473,0.81709,0.28699,0.29055,0,0,1,0,0,160,0,0
BC01,SE,May,H,Hypochaeris radicata,Hypochaeris radicata,1,3.6666666666666665,3.6666666666666665,0,0,0,3.6666666666666665,0,0,0,regular,0,NotEndangered,other_forb,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.48868,1.4426,0.7278,0.33931,0.35628,0,0,1,0,0,3.6666666666666665,0,0
BC01,SE,May,H,Pilosella officinarum,Pilosella officinarum,10,3.6666666666666665,36.666666666666664,0,0,0,36.666666666666664,0,0,0,regular,0,NotEndangered,other_forb,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.49844,0.87434,0.48166,0.30793,0.22925,0,0,1,0,0,36.666666666666664,0,0
BC01,SE,May,H,Plantago lanceolata,Plantago lanceolata,1,9.333333333333334,9.333333333333334,0,0,0,9.333333333333334,0,0,0,regular,0,NotEndangered,other_forb,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.52518,1.61045,0.96495,0.27897,0.32911,0,0,1,0,0,9.333333333333334,0,0
BC01,SE,May,H,Poa compressa,Poa compressa,2,12,24,0,0,0,12,12,0,0,regular,0,NotEndangered,graminoid,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.5898,0.9391,0.49914,0.25017,0.26404,0,0,2,0,0,24,0,0
BC01,SE,May,H,Rumex acetosa,Rumex acetosa,15,11.333333333333334,170,0,0,0,0,0,0,170,regular,0,Warning,other_forb,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.51255,1.42792,1.00937,0.22916,0.30884,0,0,1,0,0,170,0,0
BC01,SE,May,H,Trifolium dubium,Trifolium dubium,3,5,15,0,0,0,15,0,0,0,regular,0,NotEndangered,legume,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.50969,1.97957,1.1694,0.28385,0.36995,0,0,1,15,0,0,0,0
BC01,SE,May,H,Trifolium pratensis,Trifolium pratense,5,5.333333333333333,26.666666666666664,0,0,0,26.666666666666664,0,0,0,regular,0,NotEndangered,legume,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.51602,1.37487,0.89491,0.26179,0.32262,0,0,1,0,0,26.666666666666664,0,0
BC01,SE,May,H,Trifolium repens,Trifolium repens,20,1,20,0,0,0,0,0,0,20,regular,0,NotEndangered,legume,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0.53223,1.73719,0.94278,0.39374,0.35054,0,0,1,0,0,20,0,0
BC01,NW,July,H,Achillea millefolium,Achillea millefolium (aggr.),15,20,300,0,0,0,150,150,0,0,regular,0,NotEndangered,other_forb,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.54139,1.31363,0.8112,0.25085,0.32953,0,0,2,0,0,300,0,0
BC01,NW,July,H,Agrostis capillaris,Agrostis capillaris,30,16.333333333333332,489.99999999999994,0,0,0,244.99999999999997,244.99999999999997,0,0,regular,0,NotEndangered,graminoid,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.52099,0.86379,0.57578,0.29897,0.2949,0,0,2,0,0,489.99999999999994,0,0
BC01,NW,July,H,Bellis perennis,Bellis perennis,0.5,3,1.5,0,0,0,0,0,0,1.5,regular,0,NotEndangered,other_forb,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.51276,1.51667,0.98959,0.46997,0.3594,0,0,1,0,0,1.5,0,0
BC01,NW,July,H,Carex hirta,Carex hirta,0.5,8,4,0,0,0,0,0,0,4,regular,0,NotEndangered,graminoid,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0.52271,1.29975,0.85594,0.32101,0.24412,0,0,1,0,0,4,0,0
BC01,NW,July,H,Crepis capillaris,Crepis capillaris,0.5,26,13,0,0,0,6.5,6.5,0,0,regular,0,NotEndangered,other_forb,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0.52833,1.63653,0.96127,0.27844,0.39266,0,0,2,13,13,0,0,0
BC01,NW,July,H,Festuca ovina,Festuca ovina,3,11.333333333333334,34,0,0,0,0,34,0,0,regular,0,NotEndangered,graminoid,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.52087,0.57174,0.29247,0.27496,0.19646,0,0,1,0,0,34,0,0
BC01,NW,July,H,Geranium molle,Geranium molle,0.3,1,0.3,0.3,0,0,0,0,0,0,regular,0,NotEndangered,other_forb,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.62987,1.27995,0.6275,0.3036,0.42608,0,0,1,0.3,0,0,0,0
BC01,NW,July,H,Holcus lanatus,Holcus lanatus,2,12.666666666666666,25.333333333333332,0,0,0,0,25.333333333333332,0,0,regular,0,NotEndangered,graminoid,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.51067,1.23473,0.81709,0.28699,0.29055,0,0,1,0,0,25.333333333333332,0,0
BC01,NW,July,H,Hypochaeris radicata,Hypochaeris radicata,2,15,30,0,0,0,15,15,0,0,regular,0,NotEndangered,other_forb,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.48868,1.4426,0.7278,0.33931,0.35628,0,0,2,0,0,30,0,0
BC01,NW,July,H,Plantago lanceolata,Plantago lanceolata,7,16.333333333333332,114.33333333333331,0,0,0,57.16666666666666,57.16666666666666,0,0,regular,0,NotEndangered,other_forb,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.52518,1.61045,0.96495,0.27897,0.32911,0,0,2,0,0,114.33333333333331,0,0
BC01,NW,July,H,Poa compressa,Poa compressa,0.1,12,1.2000000000000002,0,0,0,0,0,0,1.2000000000000002,regular,0,NotEndangered,graminoid,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.5898,0.9391,0.49914,0.25017,0.26404,0,0,1,0,0,1.2000000000000002,0,0
BC01,NW,July,Seedling,Robinia pseudoacacia,Robinia pseudoacacia,5,20.333333333333332,101.66666666666666,101.66666666666666,0,0,0,0,0,0,regular,0,Neophyte,woody,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0.75941,0.13038,0.04619,0.19988,0.20106,1,0,1,0,0,101.66666666666666,101.66666666666666,0
BC01,NW,July,H,Rumex acetosa,Rumex acetosa,0.1,20.333333333333332,2.033333333333333,0,0,0,1.0166666666666666,1.0166666666666666,0,0,regular,0,Warning,other_forb,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.51255,1.42792,1.00937,0.22916,0.30884,0,0,2,0,0,2.033333333333333,0,0
BC01,NW,July,H,Vicia lathyroides,Vicia lathyroides,0.01,2.6666666666666665,0.02666666666666666,0.02666666666666666,0,0,0,0,0,0,regular,0,NotEndangered,legume,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.46977,1.10195,0.42632,0.30568,0.32815,0,0,1,0.02666666666666666,0,0,0,0
BC01,SE,July,H,Agrostis capillaris,Agrostis capillaris,30,16.333333333333332,489.99999999999994,0,0,0,244.99999999999997,244.99999999999997,0,0,regular,0,NotEndangered,graminoid,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.52099,0.86379,0.57578,0.29897,0.2949,0,0,2,0,0,489.99999999999994,0,0
BC01,SE,July,H,Carex hirta,Carex hirta,1,8,8,0,0,0,0,0,0,8,regular,0,NotEndangered,graminoid,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0.52271,1.29975,0.85594,0.32101,0.24412,0,0,1,0,0,8,0,0
BC01,SE,July,H,Festuca rubra,Festuca rubra,15,8.75,131.25,0,0,0,0,0,0,131.25,regular,0,NotEndangered,graminoid,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.49144,1.23162,0.61897,0.28728,0.29737,0,0,1,0,0,131.25,0,0
BC01,SE,July,H,Geranium molle,Geranium molle,0.5,1,0.5,0.5,0,0,0,0,0,0,regular,0,NotEndangered,other_forb,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.62987,1.27995,0.6275,0.3036,0.42608,0,0,1,0.5,0,0,0,0
BC01,SE,July,H,Holcus lanatus,Holcus lanatus,5,12.666666666666666,63.33333333333333,0,0,0,0,63.33333333333333,0,0,regular,0,NotEndangered,graminoid,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.51067,1.23473,0.81709,0.28699,0.29055,0,0,1,0,0,63.33333333333333,0,0
BC01,SE,July,H,Hypochaeris radicata,Hypochaeris radicata,2,15,30,0,0,0,15,15,0,0,regular,0,NotEndangered,other_forb,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.48868,1.4426,0.7278,0.33931,0.35628,0,0,2,0,0,30,0,0
BC01,SE,July,H,Pilosella officinarum,Pilosella officinarum,15,6.333333333333333,95,0,0,0,0,0,0,95,regular,0,NotEndangered,other_forb,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.49844,0.87434,0.48166,0.30793,0.22925,0,0,1,0,0,95,0,0
BC01,SE,July,H,Plantago lanceolata,Plantago lanceolata,1,16.333333333333332,16.333333333333332,0,0,0,8.166666666666666,8.166666666666666,0,0,regular,0,NotEndangered,other_forb,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.52518,1.61045,0.96495,0.27897,0.32911,0,0,2,0,0,16.333333333333332,0,0
BC01,SE,July,H,Poa compressa,Poa compressa,2,12,24,0,0,0,0,0,0,24,regular,0,NotEndangered,graminoid,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.5898,0.9391,0.49914,0.25017,0.26404,0,0,1,0,0,24,0,0
BC01,SE,July,H,Rumex acetosa,Rumex acetosa,25,20.333333333333332,508.3333333333333,0,0,0,254.16666666666666,254.16666666666666,0,0,regular,0,Warning,other_forb,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.51255,1.42792,1.00937,0.22916,0.30884,0,0,2,0,0,508.3333333333333,0,0
BC01,SE,July,H,Trifolium pratensis,Trifolium pratense,8,12.666666666666666,101.33333333333331,0,0,0,50.66666666666666,50.66666666666666,0,0,regular,0,NotEndangered,legume,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.51602,1.37487,0.89491,0.26179,0.32262,0,0,2,0,0,101.33333333333331,0,0
BC01,SE,July,H,Trifolium repens,Trifolium repens,4,5.666666666666667,22.666666666666668,0,0,0,0,0,0,22.666666666666668,regular,0,NotEndangered,legume,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0.53223,1.73719,0.94278,0.39374,0.35054,0,0,1,0,0,22.666666666666668,0,0
