PlotNo,MowFreq,MonthLabel,Subplot,SR,evenness,shannon,cover,biomass,neophyte
BC08,regular,September,SE,8,2.9126014174585144,1.3450050970821021,96.21,602.1266666666667,0
BC09,reduced,July,NW,22,9.276300052869368,2.4848903854323727,104.61,1857.1000000000001,1
BC09,reduced,July,SE,14,6.4397808972726205,2.1036254910611007,84.71,1166.6933333333334,0
BC09,reduced,March,NW,19,5.148079890513138,2.0621859399865787,16.83,71.45333333333333,0
BC09,reduced,March,SE,13,6.268698108071323,1.9736798011119843,12.14,51.163333333333334,0
BC09,reduced,May,NW,22,5.000942661584491,2.186003999358651,49.4,1031.6166666666666,1
BC09,reduced,May,SE,13,7.552500828088771,2.159339778049249,75.5,857.6666666666666,0
BC09,reduced,September,NW,25,8.234190903235278,2.3995908680580786,92.43,1401.5116666666668,1
BC09,reduced,September,SE,14,5.712551858781419,2.0068726142891546,83.8,1148.0166666666667,0
BC10,reduced_sown,July,NW,26,6.165120268588059,2.264690656885368,98.72,2090.22,5
BC10,reduced_sown,July,SE,27,8.055936945498527,2.540786296062422,110.1,2258.7,2
BC10,reduced_sown,March,NW,34,7.477138180844697,2.5255109474225512,57.36,235.78166666666667,5
BC10,reduced_sown,March,SE,35,13.57970189608839,2.954907648265033,53.73,232.51666666666668,3
BC10,reduced_sown,May,NW,31,11.440230818808782,2.7974098173692274,157.51,3349.55,5
BC10,reduced_sown,May,SE,35,9.970451669622713,2.769466038794453,142.71,4791.733333333334,3
BC10,reduced_sown,September,NW,24,4.574824474555645,1.9936967436454178,102.31,1550.6933333333334,4
BC10,reduced_sown,September,SE,26,11.105032547019633,2.672718146981205,104.62,1625.225,2
BC11,regular,July,NW,14,3.3473946720231647,1.4780701208198639,117.91,1007.2433333333333,0
BC11,regular,July,SE,14,3.6206525626929142,1.6642451967690965,116.9,980.1333333333333,0
BC11,regular,March,NW,12,2.6627151877275335,1.358762150326341,52.63,178.22,0
BC11,regular,March,SE,11,3.010296624006469,1.3714663833403575,52.21,166.04333333333335,0
BC11,regular,May,NW,16,3.4534350677676846,1.6102464918375206,95,737.0666666666667,0
BC11,regular,May,SE,16,5.278895411472417,1.9636712708973407,98,680.1,0
BC11,regular,September,NW,15,3.5305985626245553,1.5397415233885068,97.9,649.6999999999999,0
BC11,regular,September,SE,13,4.680852652509257,1.8793039258143116,130.1,748.6666666666666,0
BC12,reduced,July,NW,18,5.907978592900071,2.1622124419433604,86.05,1005.7083333333333,0
BC12,reduced,July,SE,16,3.8723875524962192,1.7283369286354742,50.91,634.9133333333333,0
BC12,reduced,March,NW,17,4.032386413137373,1.7944143293400823,46.74,212.76666666666665,0
BC12,reduced,March,SE,14,2.8909442055581027,1.4942175790397894,45.45,226.5333333333333,0
BC12,reduced,May,NW,24,6.168398999254567,2.295624334852798,102.51,3123.0133333333333,1
BC12,reduced,May,SE,19,5.436651469450858,2.08826410207245,97.22,2614.365,0
BC12,reduced,September,NW,20,6.90864826540096,2.2593159605096558,105.22,1086.62,1
BC12,reduced,September,SE,14,5.294770802431068,1.9632980380052047,80.71,856.2033333333333,0
BC13,regular,July,NW,19,3.9225763091505303,1.7969715014496848,78.151,459.9746666666666,0
BC13,regular,July,SE,18,5.8264030825934,2.2500067136666786,41.7,289.26666666666665,0
BC13,regular,March,NW,20,4.039914008908885,1.9142664283861617,44.64,141.30666666666667,1
BC13,regular,March,SE,18,3.2110451727702873,1.6872625049534669,32.53,126.81333333333333,0
BC13,regular,May,NW,23,7.811451241914816,2.425313681027497,100.6,975.9916666666667,1
BC13,regular,May,SE,21,7.451788963007883,2.404925662847718,76.8,1027.3166666666666,0
BC13,regular,September,NW,21,5.985658362563298,2.1787685097007343,100,425.1583333333333,0
BC13,regular,September,SE,24,8.607983623336743,2.5255269786823256,58,286.69166666666666,0
BC14,regular,July,NW,16,5.106339355307259,1.9039525369868961,56.71,535.6133333333333,0
BC14,regular,July,SE,19,6.626238408804097,2.105505200258331,38.65,337.18,0
BC14,regular,March,NW,18,3.362371683071267,1.6239605280269276,40.833,197.94883333333334,1
BC14,regular,March,SE,22,4.279574926429981,1.7501277583824113,20.625,91.47216666666667,1
BC14,regular,May,NW,21,6.78135420446103,2.238304745403982,88.6,1539.9583333333335,0
BC14,regular,May,SE,21,6.088222782159103,2.1320626637388944,61,1199.1583333333333,0
BC14,regular,September,NW,17,4.860887228030886,2.0024446844510804,61.1,425.66666666666663,0
BC14,regular,September,SE,18,5.7730142725629525,2.116045566146746,57.83,364.1333333333333,0
BC15,reduced,July,NW,15,3.3335093408362897,1.6063933018503298,80.92,1211.1883333333335,0
BC15,reduced,July,SE,17,6.170602978526389,2.026634491183721,93.91,1090.3866666666668,0
BC15,reduced,March,NW,17,4.185825463325529,1.8790679851200605,35.32,124.32000000000001,1
BC15,reduced,March,SE,19,3.8184051986163436,1.8382111167891375,64.64,249.31666666666666,1
BC15,reduced,May,NW,20,6.102015237771363,2.1573784777647314,69.81,776.2966666666666,0
BC15,reduced,May,SE,18,6.894822059941181,2.2468083761188464,64.6,730.35,0
BC15,reduced,September,NW,14,3.0232558139534884,1.6058653215853493,65,377.7083333333333,0
BC15,reduced,September,SE,18,7.429275778750084,2.2720117821247774,95.4,469.2833333333333,0
BC16,regular,July,NW,18,5.708791211914151,2.030205832488912,100.22,1493.7713333333334,1
BC16,regular,July,SE,15,6.483102265732627,2.1845607765550192,115.2,1588.7,0
BC16,regular,March,NW,19,3.4651349553523465,1.6709371909993782,47.24,323.52333333333337,3
BC16,regular,March,SE,23,5.542535409518783,2.0414847501188476,37.06,234.94333333333333,2
BC16,regular,May,NW,18,6.805370768929759,2.268815534781729,74.6,1580.6666666666667,0
BC16,regular,May,SE,21,7.725228427276037,2.3075514121782272,94.4,1816.4666666666667,0
BC16,regular,September,NW,24,7.777205287728681,2.3620456294366265,102.14,557.3208333333333,2
BC16,regular,September,SE,21,7.865231449438551,2.3429944008386983,123.4,757.0916666666667,0
BC17,reduced_sown,July,N,25,6.715558995866056,2.3345019562693334,100.81,1222.0066666666667,2
BC17,reduced_sown,July,S,30,13.029683342641865,2.8283522915213997,99.21,1203.7133333333334,0
BC17,reduced_sown,March,N,35,5.480755106753165,2.321430566920283,82.211,483.231,2
BC17,reduced_sown,March,S,35,12.721606480261535,2.936640382576308,78.21,336.57,1
BC17,reduced_sown,May,N,31,6.245164939463992,2.337596044125432,80.08,1079.7166666666667,2
BC17,reduced_sown,May,S,34,14.088242107127774,2.9239351607542905,143.8,1848.3,0
BC17,reduced_sown,September,N,29,5.938691930287348,2.2122296054624173,116.44,1248.6916666666666,2
BC17,reduced_sown,September,S,32,13.602492265044571,2.9030380555463333,143.9,1512.425,1
BC18,reduced,July,NW,22,7.257818857281172,2.2967185451209438,108.211,1685.6643333333334,1
BC18,reduced,July,SE,16,4.899178453993517,1.9532750607283946,56.061,991.3513333333333,0
BC18,reduced,March,NW,17,4.522821928067071,1.8482207679663518,27.611,109.41099999999999,1
BC18,reduced,March,SE,16,3.02493529168436,1.5174496156178674,28.341,104.635,0
BC18,reduced,May,NW,19,6.40891156603111,2.144811974114645,55.7,1223,1
BC18,reduced,May,SE,18,4.051034081313096,1.84130525841431,27.712,393.7176666666667,0
BC18,reduced,September,NW,23,6.745302313255602,2.2637529403151047,104.91,1374.2533333333333,1
BC18,reduced,September,SE,20,3.014012792139926,1.7165357433254649,54.22,727.5533333333334,1
BC19,regular,July,NW,19,5.680541386111678,2.113202659967554,86.7,608.2666666666667,0
BC19,regular,July,SE,14,5.8505514705882335,2.0591511551791477,61.8,435.48333333333335,0
BC19,regular,March,NW,16,4.999531359837539,2.08745462758917,25.3,103.85,0
BC19,regular,March,SE,14,6.445797807551767,2.185874750483716,25.2,101.73333333333333,0
BC19,regular,May,NW,20,8.090797519593488,2.413860926036009,122.6,1650.8999999999999,0
BC19,regular,May,SE,16,7.072663492858932,2.266523533430683,145.5,2129.8333333333335,0
BC19,regular,September,NW,18,7.642041318470316,2.2989952183230904,89.61,589.0266666666666,0
BC19,regular,September,SE,14,7.91017499497141,2.235154487845518,74.2,496.48333333333335,0
BC20,regular,July,NW,20,7.291368039608865,2.2159874065063168,36.64,298.33,0
BC20,regular,July,SE,18,6.859541690433176,2.189025937236595,69.72,498.71,0
BC20,regular,March,NW,26,9.524497253225285,2.6529615394817796,61.9,303.5,3
BC20,regular,March,SE,24,6.598951708936082,2.23975915340569,96.41,491.37333333333333,3
BC20,regular,May,NW,27,5.981603714161449,2.165449562565027,78.02,1483.0333333333333,0
BC20,regular,May,SE,24,8.353039448528206,2.416594356617671,90.13,1114.3033333333333,0
BC20,regular,September,NW,22,6.567116855022308,2.198281675636994,79.21,527.5433333333333,0
BC20,regular,September,SE,22,6.774432660508609,2.2402832249938807,109,639.8,0
