PlotNo,Subplot,Month,Layer,Taxon,EuroMed,cover,height,Biomass,Seedling,Juvenile,FlowerBud,Flowering,Fruiting,PostFruiting,Vegetative,MowFreq,n_mow_events_befre_sampling
BC01,SE,March,H,Cerastium holosteoides,Cerastium fontanum subsp. vulgare,0.01,2,0.02,0,0,0,0,0,0,1,regular,0
BC01,SE,March,H,Festuca rubra,Festuca rubra,15,5.333333333333333,80,0,0,0,0,0,0,1,regular,0
BC01,SE,March,H,Geranium molle,Geranium molle,0.1,1,0.1,0,0,0,0,0,0,1,regular,0
BC01,SE,March,H,Holcus lanatus,Holcus lanatus,2,6,12,0,0,0,0,0,0,1,regular,0
BC01,SE,March,H,Hypochaeris radicata,Hypochaeris radicata,1,1,1,0,0,0,0,0,0,1,regular,0
BC01,SE,March,H,Pilosella officinarum,Pilosella officinarum,7,1,7,0,0,0,0,0,0,1,regular,0
BC01,SE,March,H,Plantago lanceolata,Plantago lanceolata,1,2.0952380952380953,2.0952380952380953,0,0,0,0,0,0,1,regular,0
BC01,SE,March,H,Poa compressa,Poa compressa,0.5,4,2,0,0,0,0,0,0,1,regular,0
BC01,SE,March,H,Rumex acetosa,Rumex acetosa,5,3.3333333333333335,16.666666666666668,0,0,0,0,0,0,1,regular,0
BC01,SE,March,H,Trifolium dubium,Trifolium dubium,0.5,1.5,0.75,0,0,0,0,0,0,1,regular,0
BC01,SE,March,H,Trifolium pratensis,Trifolium pratense,1,2,2,0,0,0,0,0,0,1,regular,0
BC01,SE,March,H,Trifolium repens,Trifolium repens,10,2.3333333333333335,23.333333333333336,0,0,0,0,0,0,1,regular,0
BC01,NW,May,H,Achillea millefolium,Achillea millefolium (aggr.),15,6.333333333333333,95,0,0,0,0,0,0,1,regular,0
BC01,NW,May,H,Agrostis capillaris,Agrostis capillaris,20,9,180,0,0,0,1,0,0,0,regular,0
BC01,NW,May,H,Bellis perennis,Bellis perennis,3,8.666666666666666,26,0,0,0,1,0,0,0,regular,0
BC01,NW,May,H,Bromus mollis,Bromus hordeaceus,3,12,36,0,0,0,0,1,0,0,regular,0
BC01,NW,May,H,Carex hirta,Carex hirta,3,7,21,0,0,0,1,0,0,0,regular,0
BC01,NW,May,H,Crepis capillaris,Crepis capillaris,1,9,9,0,0,0,0,0,0,1,regular,0
BC01,NW,May,H,Festuca ovina,Festuca ovina,10,26,260,0,0,0,0,1,0,0,regular,0
BC01,NW,May,H,Geranium molle,Geranium molle,2,5.666666666666667,11.333333333333334,0,0,0,1,0,0,0,regular,0
BC01,NW,May,H,Holcus lanatus,Holcus lanatus,7,16,112,0,0,0,1,0,0,0,regular,0
BC01,NW,May,H,Hypochaeris radicata,Hypochaeris radicata,5,3.6666666666666665,18.333333333333332,0,0,0,1,0,0,0,regular,0
BC01,NW,May,H,Plantago lanceolata,Plantago lanceolata,8,9.333333333333334,74.66666666666667,0,0,0,1,0,0,0,regular,0
BC01,NW,May,H,Poa compressa,Poa compressa,1,12,12,0,0,0,1,1,0,0,regular,0
BC01,NW,May,H,Rumex acetosa,Rumex acetosa,10,11.333333333333334,113.33333333333334,0,0,0,0,0,0,1,regular,0
BC01,NW,May,H,Trifolium dubium,Trifolium dubium,5,5,25,0,0,0,1,0,0,0,regular,0
BC01,NW,May,H,Veronica arvensis,Veronica arvensis,0.001,3,0.003,0,0,0,0,1,0,0,regular,0
BC01,NW,May,H,Vicia lathyroides,Vicia lathyroides,1,9.333333333333334,9.333333333333334,0,0,0,0,1,0,0,regular,0
BC01,SE,May,H,Agrostis capillaris,Agrostis capillaris,17,9,153,0,0,0,1,0,0,0,regular,0
BC01,SE,May,H,Bellis perennis,Bellis perennis,3,8.666666666666666,26,0,0,0,1,0,0,0,regular,0
BC01,SE,May,H,Bromus mollis,Bromus hordeaceus,2,12,24,0,0,0,0,1,0,0,regular,0
BC01,SE,May,H,Carex hirta,Carex hirta,1,7,7,0,0,0,1,0,0,0,regular,0
BC01,SE,May,H,Cerastium holosteoides,Cerastium fontanum subsp. vulgare,0.5,2,1,0,0,0,0,0,0,1,regular,0
BC01,SE,May,H,Crepis capillaris,Crepis capillaris,1,9,9,0,0,0,0,0,0,1,regular,0
BC01,SE,May,H,Festuca rubra,Festuca rubra,20,20.666666666666668,413.33333333333337,0,0,0,0,1,0,0,regular,0
BC01,SE,May,H,Geranium molle,Geranium molle,1,5.666666666666667,5.666666666666667,0,0,0,1,0,0,0,regular,0
BC01,SE,May,H,Holcus lanatus,Holcus lanatus,10,16,160,0,0,0,1,0,0,0,regular,0
BC01,SE,May,H,Hypochaeris radicata,Hypochaeris radicata,1,3.6666666666666665,3.6666666666666665,0,0,0,1,0,0,0,regular,0
BC01,SE,May,H,Pilosella officinarum,Pilosella officinarum,10,3.6666666666666665,36.666666666666664,0,0,0,1,0,0,0,regular,0
BC01,SE,May,H,Plantago lanceolata,Plantago lanceolata,1,9.333333333333334,9.333333333333334,0,0,0,1,0,0,0,regular,0
BC01,SE,May,H,Poa compressa,Poa compressa,2,12,24,0,0,0,1,1,0,0,regular,0
BC01,SE,May,H,Rumex acetosa,Rumex acetosa,15,11.333333333333334,170,0,0,0,0,0,0,1,regular,0
BC01,SE,May,H,Trifolium dubium,Trifolium dubium,3,5,15,0,0,0,1,0,0,0,regular,0
BC01,SE,May,H,Trifolium pratensis,Trifolium pratense,5,5.333333333333333,26.666666666666664,0,0,0,1,0,0,0,regular,0
BC01,SE,May,H,Trifolium repens,Trifolium repens,20,1,20,0,0,0,0,0,0,1,regular,0
BC01,NW,July,H,Achillea millefolium,Achillea millefolium (aggr.),15,20,300,0,0,0,1,1,0,0,regular,0
BC01,NW,July,H,Agrostis capillaris,Agrostis capillaris,30,16.333333333333332,489.99999999999994,0,0,0,1,1,0,0,regular,0
BC01,NW,July,H,Bellis perennis,Bellis perennis,0.5,3,1.5,0,0,0,0,0,0,1,regular,0
BC01,NW,July,H,Carex hirta,Carex hirta,0.5,8,4,0,0,0,0,0,0,1,regular,0
BC01,NW,July,H,Crepis capillaris,Crepis capillaris,0.5,26,13,0,0,0,1,1,0,0,regular,0
BC01,NW,July,H,Festuca ovina,Festuca ovina,3,11.333333333333334,34,0,0,0,0,1,0,0,regular,0
BC01,NW,July,H,Geranium molle,Geranium molle,0.3,1,0.3,1,0,0,0,0,0,0,regular,0
BC01,NW,July,H,Holcus lanatus,Holcus lanatus,2,12.666666666666666,25.333333333333332,0,0,0,0,1,0,0,regular,0
BC01,NW,July,H,Hypochaeris radicata,Hypochaeris radicata,2,15,30,0,0,0,1,1,0,0,regular,0
BC01,NW,July,H,Plantago lanceolata,Plantago lanceolata,7,16.333333333333332,114.33333333333333,0,0,0,1,1,0,0,regular,0
BC01,NW,July,H,Poa compressa,Poa compressa,0.1,12,1.2000000000000002,0,0,0,0,0,0,1,regular,0
BC01,NW,July,Seedling,Robinia pseudoacacia,Robinia pseudoacacia,5,20.333333333333332,101.66666666666666,1,0,0,0,0,0,0,regular,0
BC01,NW,July,H,Rumex acetosa,Rumex acetosa,0.1,20.333333333333332,2.033333333333333,0,0,0,1,1,0,0,regular,0
BC01,NW,July,H,Vicia lathyroides,Vicia lathyroides,0.01,2.6666666666666665,0.026666666666666665,1,0,0,0,0,0,0,regular,0
BC01,SE,July,H,Agrostis capillaris,Agrostis capillaris,30,16.333333333333332,489.99999999999994,0,0,0,1,1,0,0,regular,0
BC01,SE,July,H,Carex hirta,Carex hirta,1,8,8,0,0,0,0,0,0,1,regular,0
BC01,SE,July,H,Festuca rubra,Festuca rubra,15,8.75,131.25,0,0,0,0,0,0,1,regular,0
BC01,SE,July,H,Geranium molle,Geranium molle,0.5,1,0.5,1,0,0,0,0,0,0,regular,0
BC01,SE,July,H,Holcus lanatus,Holcus lanatus,5,12.666666666666666,63.33333333333333,0,0,0,0,1,0,0,regular,0
BC01,SE,July,H,Hypochaeris radicata,Hypochaeris radicata,2,15,30,0,0,0,1,1,0,0,regular,0
BC01,SE,July,H,Pilosella officinarum,Pilosella officinarum,15,6.333333333333333,95,0,0,0,0,0,0,1,regular,0
BC01,SE,July,H,Plantago lanceolata,Plantago lanceolata,1,16.333333333333332,16.333333333333332,0,0,0,1,1,0,0,regular,0
BC01,SE,July,H,Poa compressa,Poa compressa,2,12,24,0,0,0,0,0,0,1,regular,0
BC01,SE,July,H,Rumex acetosa,Rumex acetosa,25,20.333333333333332,508.3333333333333,0,0,0,1,1,0,0,regular,0
BC01,SE,July,H,Trifolium pratensis,Trifolium pratense,8,12.666666666666666,101.33333333333333,0,0,0,1,1,0,0,regular,0
BC01,SE,July,H,Trifolium repens,Trifolium repens,4,5.666666666666667,22.666666666666668,0,0,0,0,0,0,1,regular,0
BC01,NW,September,H,Achillea millefolium,Achillea millefolium (aggr.),17,7.666666666666667,130.33333333333334,0,0,0,0,0,0,1,regular,2
BC01,NW,September,H,Agrostis capillaris,Agrostis capillaris,30,10.333333333333334,310,0,0,0,0,0,0,1,regular,2
BC01,NW,September,H,Arenaria serpyllifolia,Arenaria serpyllifolia,0.01,1,0.01,1,0,0,0,0,0,0,regular,2
BC01,NW,September,H,Bellis perennis,Bellis perennis,2,5.333333333333333,10.666666666666666,0,0,0,1,0,0,0,regular,2
BC01,NW,September,H,Bromus mollis,Bromus hordeaceus,0.5,6,3,1,0,0,0,0,0,0,regular,2
BC01,NW,September,H,Carex hirta,Carex hirta,2,9.333333333333334,18.666666666666668,0,0,0,0,0,0,1,regular,2
BC01,NW,September,H,Crepis capillaris,Crepis capillaris,0.5,5.666666666666667,2.8333333333333335,0,0,0,0,1,0,0,regular,2
BC01,NW,September,H,Festuca ovina,Festuca ovina,5,8.333333333333334,41.66666666666667,0,0,0,0,0,0,1,regular,2
BC01,NW,September,H,Geranium molle,Geranium molle,5,4.333333333333333,21.666666666666664,0,0,0,0,0,0,1,regular,2
BC01,NW,September,H,Holcus lanatus,Holcus lanatus,3,15.333333333333332,46,0,0,0,0,0,0,1,regular,2
BC01,NW,September,H,Hypochaeris radicata,Hypochaeris radicata,2,7.25,14.5,0,0,0,0,0,0,1,regular,2
BC01,NW,September,H,Plantago lanceolata,Plantago lanceolata,10,8.666666666666666,86.66666666666666,0,0,0,0,1,0,0,regular,2
BC01,NW,September,H,Poa compressa,Poa compressa,0.1,10.166666666666668,1.0166666666666668,0,0,0,0,0,0,1,regular,2
BC01,NW,September,H,Rumex acetosa,Rumex acetosa,6,8,48,0,0,0,1,1,0,0,regular,2
BC01,NW,September,H,Trifolium dubium,Trifolium dubium,5,1.6666666666666667,8.333333333333334,0,0,0,0,0,0,1,regular,2
BC01,NW,September,H,Vicia lathyroides,Vicia lathyroides,1,4.666666666666667,4.666666666666667,0,0,0,0,0,0,1,regular,2
BC01,SE,September,H,Agrostis capillaris,Agrostis capillaris,25,10.333333333333334,258.33333333333337,0,0,0,0,0,0,1,regular,2
BC01,SE,September,H,Bellis perennis,Bellis perennis,3,5.333333333333333,16,0,0,0,1,0,0,0,regular,2
BC01,SE,September,H,Carex hirta,Carex hirta,3,9.333333333333334,28,0,0,0,0,0,0,1,regular,2
BC01,SE,September,H,Crepis capillaris,Crepis capillaris,0.1,5.666666666666667,0.5666666666666668,0,0,0,0,1,0,0,regular,2
BC01,SE,September,H,Festuca rubra,Festuca rubra,30,11,330,0,0,0,0,0,0,1,regular,2
BC01,SE,September,H,Geranium molle,Geranium molle,5,4.333333333333333,21.666666666666664,0,0,0,0,0,0,1,regular,2
BC01,SE,September,H,Holcus lanatus,Holcus lanatus,8,15.333333333333332,122.66666666666666,0,0,0,0,0,0,1,regular,2
BC01,SE,September,H,Hypochaeris radicata,Hypochaeris radicata,4,7.25,29,0,0,0,0,0,0,1,regular,2
BC01,SE,September,H,Pilosella officinarum,Pilosella officinarum,9,7,63,0,0,0,1,1,0,0,regular,2
BC01,SE,September,H,Plantago lanceolata,Plantago lanceolata,3,8.666666666666666,26,0,0,0,0,1,0,0,regular,2
BC01,SE,September,H,Poa compressa,Poa compressa,5,10.166666666666668,50.83333333333334,0,0,0,0,0,0,1,regular,2
BC01,SE,September,H,Rumex acetosa,Rumex acetosa,12,8,96,0,0,0,1,1,0,0,regular,2
BC01,SE,September,H,Stellaria media,Stellaria media,0.5,1.6666666666666667,0.8333333333333334,1,0,0,0,0,0,0,regular,2
BC01,SE,September,H,Trifolium dubium,Trifolium dubium,1,1.6666666666666667,1.6666666666666667,0,0,0,0,0,0,1,regular,2
BC01,SE,September,H,Trifolium pratensis,Trifolium pratense,3,10,30,0,0,0,1,1,0,0,regular,2
BC01,SE,September,H,Trifolium repens,Trifolium repens,7,7,49,0,0,0,1,1,0,0,regular,2
BC01,SE,September,H,Vicia lathyroides,Vicia lathyroides,0.1,4.666666666666667,0.46666666666666673,0,0,0,0,0,0,1,regular,2
BC02,NW,March,H,Achillea millefolium,Achillea millefolium (aggr.),2,2.3333333333333335,4.666666666666667,0,0,0,1,0,0,0,reduced,0
BC02,NW,March,H,Artemisia absinthium,Artemisia absinthium,0.01,3.6666666666666665,0.03666666666666667,0,0,0,0,0,0,1,reduced,0
BC02,NW,March,H,Berteroa incana,Berteroa incana,0.7,3,2.0999999999999996,0,0,0,0,0,0,1,reduced,0
BC02,NW,March,H,Cardamine hirsuta,Cardamine hirsuta,0.5,4,2,0,0,0,1,0,0,0,reduced,0
BC02,NW,March,H,Carex hirta,Carex hirta,0.2,4.333333333333333,0.8666666666666667,0,0,0,0,0,0,1,reduced,0
BC02,NW,March,H,Cerastium semidecandrum,Cerastium semidecandrum,1,1,1,0,0,0,1,0,0,0,reduced,0
BC02,NW,March,H,Daucus carota,Daucus carota,0.2,3.6666666666666665,0.7333333333333334,0,0,0,0,0,0,1,reduced,0
BC02,NW,March,H,Echium vulgare,Echium vulgare,0.01,2,0.02,0,0,0,0,0,0,1,reduced,0
BC02,NW,March,H,Erodium cicutarium,Erodium cicutarium,0.3,1,0.3,0,0,0,0,0,0,1,reduced,0
BC02,NW,March,H,Festuca rubra,Festuca rubra,3,10.666666666666666,32,0,0,0,0,0,0,1,reduced,0
BC02,NW,March,H,Geranium molle,Geranium molle,10,2.3333333333333335,23.333333333333336,0,0,0,0,0,0,1,reduced,0
BC02,NW,March,H,Medicago sativa,Medicago sativa,1,6.166666666666666,6.166666666666666,0,0,0,0,0,0,1,reduced,0
BC02,NW,March,H,Plantago lanceolata,Plantago lanceolata,0.2,3,0.6000000000000001,0,0,0,0,0,0,1,reduced,0
BC02,NW,March,H,Poa pratensis,Poa pratensis,5,5.933333333333334,29.666666666666668,0,0,0,0,0,0,1,reduced,0
BC02,NW,March,H,Potentilla argentea,Potentilla argentea,0.001,2,0.002,0,0,0,0,0,0,1,reduced,0
BC02,NW,March,H,Rumex acetosa,Rumex acetosa,0.2,4,0.8,0,0,0,0,0,0,1,reduced,0
BC02,NW,March,H,Sedum acre,Sedum acre,5,2.6666666666666665,13.333333333333332,0,0,0,0,0,0,1,reduced,0
BC02,NW,March,H,Senecio vulgaris,Senecio vulgaris,0.1,3,0.30000000000000004,0,0,0,0,0,0,1,reduced,0
BC02,NW,March,H,Solidago canadensis,Solidago canadensis,2,3.3333333333333335,6.666666666666667,0,0,0,0,0,0,1,reduced,0
BC02,NW,March,H,Stellaria media,Stellaria media,0.5,4.277777777777778,2.138888888888889,0,0,0,1,0,0,0,reduced,0
BC02,NW,March,H,Tanacetum vulgare,Tanacetum vulgare,1,6,6,0,0,0,0,0,0,1,reduced,0
BC02,NW,March,H,Veronica arvensis,Veronica arvensis,1,1,1,1,0,0,0,0,0,0,reduced,0
BC02,NW,March,H,Vicia sativa,Vicia sativa,20,7.666666666666667,153.33333333333334,0,0,0,0,0,0,1,reduced,0
BC02,SE,March,H,Achillea millefolium,Achillea millefolium (aggr.),2,2.3333333333333335,4.666666666666667,0,0,0,1,0,0,0,reduced,0
BC02,SE,March,H,Arenaria serpyllifolia,Arenaria serpyllifolia,0.5,1,0.5,0,0,0,0,0,0,1,reduced,0
BC02,SE,March,H,Artemisia absinthium,Artemisia absinthium,0.1,3.6666666666666665,0.3666666666666667,0,0,0,0,0,0,1,reduced,0
BC02,SE,March,H,Bellis perennis,Bellis perennis,0.1,1,0.1,0,0,0,0,0,0,1,reduced,0
BC02,SE,March,H,Berteroa incana,Berteroa incana,0.1,3,0.30000000000000004,0,0,0,0,0,0,1,reduced,0
BC02,SE,March,H,Bromus sterilis,Anisantha sterilis,0.01,6,0.06,0,0,0,0,0,0,1,reduced,0
BC02,SE,March,H,Cardamine hirsuta,Cardamine hirsuta,0.01,4,0.04,0,0,0,1,0,0,0,reduced,0
BC02,SE,March,H,Cerastium semidecandrum,Cerastium semidecandrum,0.1,1,0.1,0,0,0,1,0,0,0,reduced,0
BC02,SE,March,H,Crepis capillaris,Crepis capillaris,0.01,2,0.02,0,0,0,0,0,0,1,reduced,0
BC02,SE,March,H,Daucus carota,Daucus carota,0.1,3.6666666666666665,0.3666666666666667,0,0,0,0,0,0,1,reduced,0
BC02,SE,March,H,Erodium cicutarium,Erodium cicutarium,0.5,1,0.5,0,0,0,0,0,0,1,reduced,0
BC02,SE,March,H,Festuca rubra,Festuca rubra,2,10.666666666666666,21.333333333333332,0,0,0,0,0,0,1,reduced,0
BC02,SE,March,H,Geranium molle,Geranium molle,3,2.3333333333333335,7,0,0,0,0,0,0,1,reduced,0
BC02,SE,March,H,Plantago lanceolata,Plantago lanceolata,3,3,9,0,0,0,0,0,0,1,reduced,0
BC02,SE,March,H,Poa pratensis,Poa pratensis,0.2,5.933333333333334,1.1866666666666668,0,0,0,0,0,0,1,reduced,0
BC02,SE,March,H,Potentilla argentea,Potentilla argentea,0.1,2,0.2,0,0,0,0,0,0,1,reduced,0
BC02,SE,March,H,Rumex acetosa,Rumex acetosa,10,4,40,0,0,0,0,0,0,1,reduced,0
BC02,SE,March,H,Sedum acre,Sedum acre,7,2.6666666666666665,18.666666666666664,0,0,0,0,0,0,1,reduced,0
BC02,SE,March,H,Taraxacum,Taraxacum,0.01,2.9333333333333336,0.029333333333333336,0,0,0,0,0,0,1,reduced,0
BC02,SE,March,H,Veronica arvensis,Veronica arvensis,1,1,1,1,0,0,0,0,0,0,reduced,0
BC02,SE,March,H,Vicia sativa,Vicia sativa,30,7.666666666666667,230,0,0,0,0,0,0,1,reduced,0
BC02,NW,May,H,Achillea millefolium,Achillea millefolium (aggr.),5,5.416666666666667,27.083333333333336,0,0,0,0,0,0,1,reduced,0
BC02,NW,May,H,Artemisia absinthium,Artemisia absinthium,2,9.333333333333334,18.666666666666668,0,0,0,0,0,0,1,reduced,0
BC02,NW,May,H,Berteroa incana,Berteroa incana,3,13.333333333333334,40,0,0,0,0,0,0,1,reduced,0
BC02,NW,May,H,Carex hirta,Carex hirta,1,10.333333333333334,10.333333333333334,0,0,0,0,0,0,1,reduced,0
BC02,NW,May,H,Cerastium semidecandrum,Cerastium semidecandrum,1,8,8,0,0,0,0,1,0,0,reduced,0
BC02,NW,May,H,Daucus carota,Daucus carota,0.5,6,3,0,0,0,0,0,0,1,reduced,0
BC02,NW,May,H,Erodium cicutarium,Erodium cicutarium,1,11,11,0,0,0,0,1,0,0,reduced,0
BC02,NW,May,H,Festuca rubra,Festuca rubra,3,19.666666666666668,59,0,0,0,0,1,0,0,reduced,0
BC02,NW,May,H,Geranium molle,Geranium molle,5,6.333333333333333,31.666666666666664,0,0,0,1,0,0,0,reduced,0
BC02,NW,May,H,Geum urbanum,Geum urbanum,0.1,3,0.30000000000000004,0,0,0,0,0,0,1,reduced,0
BC02,NW,May,H,Medicago sativa,Medicago sativa,8,20.666666666666668,165.33333333333334,0,0,0,0,0,0,1,reduced,0
BC02,NW,May,H,Plantago lanceolata,Plantago lanceolata,1,12,12,0,0,0,1,0,0,0,reduced,0
BC02,NW,May,H,Poa pratensis,Poa pratensis,1,19.666666666666668,19.666666666666668,0,0,0,0,0,0,1,reduced,0
BC02,NW,May,H,Rumex acetosa,Rumex acetosa,2,12,24,0,0,0,0,0,0,1,reduced,0
BC02,NW,May,H,Sedum acre,Sedum acre,5,5.666666666666667,28.333333333333336,0,0,0,0,0,0,1,reduced,0
BC02,NW,May,H,Solidago canadensis,Solidago canadensis,20,45.666666666666664,913.3333333333333,0,0,0,0,0,0,1,reduced,0
BC02,NW,May,H,Tanacetum vulgare,Tanacetum vulgare,5,20,100,0,0,0,0,0,0,1,reduced,0
BC02,NW,May,H,Veronica arvensis,Veronica arvensis,10,7.333333333333333,73.33333333333333,0,0,0,0,1,0,0,reduced,0
BC02,NW,May,H,Vicia sativa,Vicia sativa,20,16.666666666666668,333.33333333333337,0,0,0,0,1,0,0,reduced,0
BC02,SE,May,H,Achillea millefolium,Achillea millefolium (aggr.),2,5.416666666666667,10.833333333333334,0,0,0,0,0,0,1,reduced,0
BC02,SE,May,H,Arenaria serpyllifolia,Arenaria serpyllifolia,5,4.041666666666667,20.208333333333336,0,0,0,0,1,0,0,reduced,0
BC02,SE,May,H,Artemisia absinthium,Artemisia absinthium,1,9.333333333333334,9.333333333333334,0,0,0,0,0,0,1,reduced,0
BC02,SE,May,H,Berteroa incana,Berteroa incana,3,13.333333333333334,40,0,0,0,0,0,0,1,reduced,0
BC02,SE,May,H,Cerastium semidecandrum,Cerastium semidecandrum,1,8,8,0,0,0,0,1,0,0,reduced,0
BC02,SE,May,H,Crepis capillaris,Crepis capillaris,1,7.666666666666667,7.666666666666667,0,0,0,0,0,0,1,reduced,0
BC02,SE,May,H,Daucus carota,Daucus carota,2,6,12,0,0,0,0,0,0,1,reduced,0
BC02,SE,May,H,Echium vulgare,Echium vulgare,8,11.666666666666666,93.33333333333333,0,0,0,0,0,0,1,reduced,0
BC02,SE,May,H,Erodium cicutarium,Erodium cicutarium,1,11,11,0,0,0,0,1,0,0,reduced,0
BC02,SE,May,H,Festuca rubra,Festuca rubra,5,19.666666666666668,98.33333333333334,0,0,0,0,1,0,0,reduced,0
BC02,SE,May,H,Geranium molle,Geranium molle,10,6.333333333333333,63.33333333333333,0,0,0,1,0,0,0,reduced,0
BC02,SE,May,H,Medicago lupulina,Medicago lupulina,1,6,6,0,0,0,0,0,0,1,reduced,0
BC02,SE,May,H,Plantago lanceolata,Plantago lanceolata,7,12,84,0,0,0,1,0,0,0,reduced,0
BC02,SE,May,H,Poa pratensis,Poa pratensis,0.5,19.666666666666668,9.833333333333334,0,0,0,0,0,0,1,reduced,0
BC02,SE,May,H,Potentilla argentea,Potentilla argentea,2,17.333333333333332,34.666666666666664,0,0,0,0,0,0,1,reduced,0
BC02,SE,May,H,Rumex acetosa,Rumex acetosa,15,12,180,0,0,0,0,0,0,1,reduced,0
BC02,SE,May,H,Sedum acre,Sedum acre,15,5.666666666666667,85,0,0,0,0,0,0,1,reduced,0
BC02,SE,May,H,Taraxacum,Taraxacum,2,2,4,0,0,0,0,0,0,1,reduced,0
BC02,SE,May,H,Veronica arvensis,Veronica arvensis,1,7.333333333333333,7.333333333333333,0,0,0,0,1,0,0,reduced,0
BC02,SE,May,H,Vicia sativa,Vicia sativa,30,16.666666666666668,500.00000000000006,0,0,0,0,1,0,0,reduced,0
BC02,NW,July,H,Achillea millefolium,Achillea millefolium (aggr.),2,14.333333333333334,28.666666666666668,0,0,0,1,0,0,0,reduced,0
BC02,NW,July,H,Berteroa incana,Berteroa incana,10,46.833333333333336,468.33333333333337,0,0,0,1,1,0,0,reduced,0
BC02,NW,July,H,Carex hirta,Carex hirta,0.5,8,4,0,0,0,0,0,0,1,reduced,0
BC02,NW,July,H,Daucus carota,Daucus carota,0.1,14.666666666666666,1.4666666666666668,0,0,0,0,0,0,1,reduced,0
BC02,NW,July,H,Echium vulgare,Echium vulgare,3,28.666666666666668,86,0,0,0,1,1,0,0,reduced,0
BC02,NW,July,H,Erodium cicutarium,Erodium cicutarium,1,10,10,0,0,0,1,0,0,0,reduced,0
BC02,NW,July,H,Festuca rubra,Festuca rubra,1,12,12,0,0,0,0,1,0,0,reduced,0
BC02,NW,July,H,Geranium molle,Geranium molle,1,1.3333333333333333,1.3333333333333333,1,0,0,0,0,0,0,reduced,0
BC02,NW,July,H,Geum urbanum,Geum urbanum,0.01,3,0.03,0,0,0,0,0,0,1,reduced,0
BC02,NW,July,H,Medicago sativa,Medicago sativa,15,20.333333333333332,305,0,0,0,1,1,0,0,reduced,0
BC02,NW,July,H,Plantago lanceolata,Plantago lanceolata,1,19.666666666666668,19.666666666666668,0,0,0,1,1,0,0,reduced,0
BC02,NW,July,H,Poa pratensis,Poa pratensis,2,12.333333333333334,24.666666666666668,0,0,0,0,0,0,1,reduced,0
BC02,NW,July,H,Rumex acetosa,Rumex acetosa,0.5,11.5,5.75,0,0,0,1,1,0,0,reduced,0
BC02,NW,July,H,Sedum acre,Sedum acre,3,2.6666666666666665,8,0,0,0,0,0,0,1,reduced,0
BC02,NW,July,H,Solidago canadensis,Solidago canadensis,40,87.33333333333333,3493.333333333333,0,0,1,0,0,0,0,reduced,0
BC02,NW,July,H,Tanacetum vulgare,Tanacetum vulgare,3,43,129,0,0,0,1,0,0,0,reduced,0
BC02,NW,July,H,Vicia sativa,Vicia sativa,0.5,7.666666666666667,3.8333333333333335,1,0,0,0,0,0,0,reduced,0
BC02,SE,July,H,Achillea millefolium,Achillea millefolium (aggr.),8,14.333333333333334,114.66666666666667,0,0,0,1,0,0,0,reduced,0
BC02,SE,July,H,Arenaria serpyllifolia,Arenaria serpyllifolia,1,6.666666666666667,6.666666666666667,0,0,0,1,1,0,0,reduced,0
BC02,SE,July,H,Artemisia absinthium,Artemisia absinthium,6,44.333333333333336,266,0,0,1,0,0,0,0,reduced,0
BC02,SE,July,H,Berteroa incana,Berteroa incana,20,46.833333333333336,936.6666666666667,0,0,0,1,1,0,0,reduced,0
