PlotNo,MowFreq,MonthLabel,Subplot,Taxon,cover,Seedling,Juvenile,FlowerBud,Flowering,Fruiting,PostFruiting
BC01,regular,March,SE,Trifolium dubium,0.5,0,0,0,0,0,0
BC01,regular,March,SE,Trifolium pratensis,1,0,0,0,0,0,0
BC01,regular,March,SE,Trifolium repens,10,0,0,0,0,0,0
BC01,regular,May,NW,Achillea millefolium,15,0,0,0,0,0,0
BC01,regular,May,NW,Agrostis capillaris,20,0,0,0,1,0,0
BC01,regular,May,NW,Bellis perennis,3,0,0,0,1,0,0
BC01,regular,May,NW,Bromus mollis,3,0,0,0,0,1,0
BC01,regular,May,NW,Carex hirta,3,0,0,0,1,0,0
BC01,regular,May,NW,Crepis capillaris,1,0,0,0,0,0,0
BC01,regular,May,NW,Festuca ovina,10,0,0,0,0,1,0
BC01,regular,May,NW,Geranium molle,2,0,0,0,1,0,0
BC01,regular,May,NW,Holcus lanatus,7,0,0,0,1,0,0
BC01,regular,May,NW,Hypochaeris radicata,5,0,0,0,1,0,0
BC01,regular,May,NW,Plantago lanceolata,8,0,0,0,1,0,0
BC01,regular,May,NW,Poa compressa,1,0,0,0,1,1,0
BC01,regular,May,NW,Rumex acetosa,10,0,0,0,0,0,0
BC01,regular,May,NW,Trifolium dubium,5,0,0,0,1,0,0
BC01,regular,May,NW,Veronica arvensis,0.001,0,0,0,0,1,0
BC01,regular,May,NW,Vicia lathyroides,1,0,0,0,0,1,0
BC01,regular,May,SE,Agrostis capillaris,17,0,0,0,1,0,0
BC01,regular,May,SE,Bellis perennis,3,0,0,0,1,0,0
BC01,regular,May,SE,Bromus mollis,2,0,0,0,0,1,0
BC01,regular,May,SE,Carex hirta,1,0,0,0,1,0,0
BC01,regular,May,SE,Cerastium holosteoides,0.5,0,0,0,0,0,0
BC01,regular,May,SE,Crepis capillaris,1,0,0,0,0,0,0
BC01,regular,May,SE,Festuca rubra,20,0,0,0,0,1,0
BC01,regular,May,SE,Geranium molle,1,0,0,0,1,0,0
BC01,regular,May,SE,Holcus lanatus,10,0,0,0,1,0,0
BC01,regular,May,SE,Hypochaeris radicata,1,0,0,0,1,0,0
BC01,regular,May,SE,Pilosella officinarum,10,0,0,0,1,0,0
BC01,regular,May,SE,Plantago lanceolata,1,0,0,0,1,0,0
BC01,regular,May,SE,Poa compressa,2,0,0,0,1,1,0
BC01,regular,May,SE,Rumex acetosa,15,0,0,0,0,0,0
BC01,regular,May,SE,Trifolium dubium,3,0,0,0,1,0,0
BC01,regular,May,SE,Trifolium pratensis,5,0,0,0,1,0,0
BC01,regular,May,SE,Trifolium repens,20,0,0,0,0,0,0
BC01,regular,September,NW,Achillea millefolium,17,0,0,0,0,0,0
BC01,regular,September,NW,Agrostis capillaris,30,0,0,0,0,0,0
BC01,regular,September,NW,Arenaria serpyllifolia,0.01,1,0,0,0,0,0
BC01,regular,September,NW,Bellis perennis,2,0,0,0,1,0,0
BC01,regular,September,NW,Bromus mollis,0.5,1,0,0,0,0,0
BC01,regular,September,NW,Carex hirta,2,0,0,0,0,0,0
BC01,regular,September,NW,Crepis capillaris,0.5,0,0,0,0,1,0
BC01,regular,September,NW,Festuca ovina,5,0,0,0,0,0,0
BC01,regular,September,NW,Geranium molle,5,0,0,0,0,0,0
BC01,regular,September,NW,Holcus lanatus,3,0,0,0,0,0,0
BC01,regular,September,NW,Hypochaeris radicata,2,0,0,0,0,0,0
BC01,regular,September,NW,Plantago lanceolata,10,0,0,0,0,1,0
BC01,regular,September,NW,Poa compressa,0.1,0,0,0,0,0,0
BC01,regular,September,NW,Rumex acetosa,6,0,0,0,1,1,0
BC01,regular,September,NW,Trifolium dubium,5,0,0,0,0,0,0
BC01,regular,September,NW,Vicia lathyroides,1,0,0,0,0,0,0
BC01,regular,September,SE,Agrostis capillaris,25,0,0,0,0,0,0
BC01,regular,September,SE,Bellis perennis,3,0,0,0,1,0,0
BC01,regular,September,SE,Carex hirta,3,0,0,0,0,0,0
BC01,regular,September,SE,Crepis capillaris,0.1,0,0,0,0,1,0
BC01,regular,September,SE,Festuca rubra,30,0,0,0,0,0,0
BC01,regular,September,SE,Geranium molle,5,0,0,0,0,0,0
BC01,regular,September,SE,Holcus lanatus,8,0,0,0,0,0,0
BC01,regular,September,SE,Hypochaeris radicata,4,0,0,0,0,0,0
BC01,regular,September,SE,Pilosella officinarum,9,0,0,0,1,1,0
BC01,regular,September,SE,Plantago lanceolata,3,0,0,0,0,1,0
BC01,regular,September,SE,Poa compressa,5,0,0,0,0,0,0
BC01,regular,September,SE,Rumex acetosa,12,0,0,0,1,1,0
BC01,regular,September,SE,Stellaria media,0.5,1,0,0,0,0,0
BC01,regular,September,SE,Trifolium dubium,1,0,0,0,0,0,0
BC01,regular,September,SE,Trifolium pratensis,3,0,0,0,1,1,0
BC01,regular,September,SE,Trifolium repens,7,0,0,0,1,1,0
BC01,regular,September,SE,Vicia lathyroides,0.1,0,0,0,0,0,0
BC02,reduced,July,NW,Achillea millefolium,2,0,0,0,1,0,0
BC02,reduced,July,NW,Berteroa incana,10,0,0,0,1,1,0
BC02,reduced,July,NW,Carex hirta,0.5,0,0,0,0,0,0
BC02,reduced,July,NW,Daucus carota,0.1,0,0,0,0,0,0
BC02,reduced,July,NW,Echium vulgare,3,0,0,0,1,1,0
BC02,reduced,July,NW,Erodium cicutarium,1,0,0,0,1,0,0
BC02,reduced,July,NW,Festuca rubra,1,0,0,0,0,1,0
BC02,reduced,July,NW,Geranium molle,1,1,0,0,0,0,0
BC02,reduced,July,NW,Geum,0.01,0,0,0,0,0,0
BC02,reduced,July,NW,Medicago sativa,15,0,0,0,1,1,0
BC02,reduced,July,NW,Plantago lanceolata,1,0,0,0,1,1,0
BC02,reduced,July,NW,Poa pratensis,2,0,0,0,0,0,0
BC02,reduced,July,NW,Rumex acetosa,0.5,0,0,0,1,1,0
BC02,reduced,July,NW,Sedum acre,3,0,0,0,0,0,0
BC02,reduced,July,NW,Solidago canadensis,40,0,0,1,0,0,0
BC02,reduced,July,NW,Tanacetum vulgare,3,0,0,0,1,0,0
BC02,reduced,July,NW,Vicia sativa,0.5,1,0,0,0,0,0
BC02,reduced,July,SE,Achillea millefolium,8,0,0,0,1,0,0
BC02,reduced,July,SE,Arenaria serpyllifolia,1,0,0,0,1,1,0
BC02,reduced,July,SE,Artemisia absinthium,6,0,0,1,0,0,0
BC02,reduced,July,SE,Berteroa incana,20,0,0,0,1,1,0
BC02,reduced,July,SE,Crepis capillaris,2,0,0,0,1,1,0
BC02,reduced,July,SE,Daucus carota,0,0,0,0,0,0,0
BC02,reduced,July,SE,Echium vulgare,10,0,0,0,1,1,0
BC02,reduced,July,SE,Erodium cicutarium,6,0,0,0,1,0,0
BC02,reduced,July,SE,Festuca rubra,3,0,0,0,0,1,0
BC02,reduced,July,SE,Geranium molle,0.5,1,0,0,0,0,0
BC02,reduced,July,SE,Medicago lupulina,4,0,0,0,1,1,0
BC02,reduced,July,SE,Plantago lanceolata,3,0,0,0,1,1,0
BC02,reduced,July,SE,Poa pratensis,1,0,0,0,0,0,0
BC02,reduced,July,SE,Rumex acetosa,30,0,0,0,1,1,0
BC02,reduced,July,SE,Sedum acre,13,0,0,0,0,0,0
BC02,reduced,July,SE,Vicia sativa,0.3,1,0,0,0,0,0
BC02,reduced,March,NW,Achillea millefolium,2,0,0,0,1,0,0
BC02,reduced,March,NW,Artemisia absinthium,0.01,0,0,0,0,0,0
BC02,reduced,March,NW,Berteroa incana,0.7,0,0,0,0,0,0
BC02,reduced,March,NW,Cardamine hirsuta,0.5,0,0,0,1,0,0
BC02,reduced,March,NW,Carex hirta,0.2,0,0,0,0,0,0
BC02,reduced,March,NW,Cerastium semidecandrum,1,0,0,0,1,0,0
BC02,reduced,March,NW,Daucus carota,0.2,0,0,0,0,0,0
BC02,reduced,March,NW,Echium vulgare,0.01,0,0,0,0,0,0
BC02,reduced,March,NW,Erodium cicutarium,0.3,0,0,0,0,0,0
BC02,reduced,March,NW,Festuca rubra,3,0,0,0,0,0,0
BC02,reduced,March,NW,Geranium molle,10,0,0,0,0,0,0
BC02,reduced,March,NW,Medicago sativa,1,0,0,0,0,0,0
BC02,reduced,March,NW,Plantago lanceolata,0.2,0,0,0,0,0,0
BC02,reduced,March,NW,Poa pratensis,5,0,0,0,0,0,0
BC02,reduced,March,NW,Potentilla argentea,0.001,0,0,0,0,0,0
BC02,reduced,March,NW,Rumex acetosa,0.2,0,0,0,0,0,0
BC02,reduced,March,NW,Sedum acre,5,0,0,0,0,0,0
BC02,reduced,March,NW,Senecio vulgaris,0.1,0,0,0,0,0,0
BC02,reduced,March,NW,Solidago canadensis,2,0,0,0,0,0,0
BC02,reduced,March,NW,Stellaria media,0.5,0,0,0,1,0,0
BC02,reduced,March,NW,Tanacetum vulgare,1,0,0,0,0,0,0
BC02,reduced,March,NW,Veronica arvensis,1,1,0,0,0,0,0
BC02,reduced,March,NW,Vicia sativa,20,0,0,0,0,0,0
BC02,reduced,March,SE,Achillea millefolium,2,0,0,0,1,0,0
BC02,reduced,March,SE,Arenaria serpyllifolia,0.5,0,0,0,0,0,0
BC02,reduced,March,SE,Artemisia absinthium,0.1,0,0,0,0,0,0
BC02,reduced,March,SE,Bellis perennis,0.1,0,0,0,0,0,0
BC02,reduced,March,SE,Berteroa incana,0.1,0,0,0,0,0,0
BC02,reduced,March,SE,Bromus sterilis,0.01,0,0,0,0,0,0
BC02,reduced,March,SE,Cardamine hirsuta,0.01,0,0,0,1,0,0
BC02,reduced,March,SE,Cerastium semidecandrum,0.1,0,0,0,1,0,0
BC02,reduced,March,SE,Crepis capillaris,0.01,0,0,0,0,0,0
BC02,reduced,March,SE,Daucus carota,0.1,0,0,0,0,0,0
BC02,reduced,March,SE,Erodium cicutarium,0.5,0,0,0,0,0,0
BC02,reduced,March,SE,Festuca rubra,2,0,0,0,0,0,0
BC02,reduced,March,SE,Geranium molle,3,0,0,0,0,0,0
BC02,reduced,March,SE,Plantago lanceolata,3,0,0,0,0,0,0
BC02,reduced,March,SE,Poa pratensis,0.2,0,0,0,0,0,0
BC02,reduced,March,SE,Potentilla argentea,0.1,0,0,0,0,0,0
BC02,reduced,March,SE,Rumex acetosa,10,0,0,0,0,0,0
BC02,reduced,March,SE,Sedum acre,7,0,0,0,0,0,0
BC02,reduced,March,SE,Taraxacum,0.01,0,0,0,0,0,0
BC02,reduced,March,SE,Veronica arvensis,1,1,0,0,0,0,0
BC02,reduced,March,SE,Vicia sativa,30,0,0,0,0,0,0
BC02,reduced,May,NW,Achillea millefolium,5,0,0,0,0,0,0
BC02,reduced,May,NW,Artemisia absinthium,2,0,0,0,0,0,0
BC02,reduced,May,NW,Berteroa incana,3,0,0,0,0,0,0
BC02,reduced,May,NW,Carex hirta,1,0,0,0,0,0,0
BC02,reduced,May,NW,Cerastium semidecandrum,1,0,0,0,0,1,0
BC02,reduced,May,NW,Daucus carota,0.5,0,0,0,0,0,0
BC02,reduced,May,NW,Erodium cicutarium,1,0,0,0,0,1,0
BC02,reduced,May,NW,Festuca rubra,3,0,0,0,0,1,0
BC02,reduced,May,NW,Geranium molle,5,0,0,0,1,0,0
BC02,reduced,May,NW,Geum,0.1,0,0,0,0,0,0
BC02,reduced,May,NW,Medicago sativa,8,0,0,0,0,0,0
BC02,reduced,May,NW,Plantago lanceolata,1,0,0,0,1,0,0
BC02,reduced,May,NW,Poa pratensis,1,0,0,0,0,0,0
BC02,reduced,May,NW,Rumex acetosa,2,0,0,0,0,0,0
BC02,reduced,May,NW,Sedum acre,5,0,0,0,0,0,0
BC02,reduced,May,NW,Solidago canadensis,20,0,0,0,0,0,0
BC02,reduced,May,NW,Tanacetum vulgare,5,0,0,0,0,0,0
BC02,reduced,May,NW,Veronica arvensis,10,0,0,0,0,2,0
BC02,reduced,May,NW,Vicia sativa,20,0,0,0,0,1,0
BC02,reduced,May,SE,Achillea millefolium,2,0,0,0,0,0,0
BC02,reduced,May,SE,Arenaria serpyllifolia,5,0,0,0,0,1,0
BC02,reduced,May,SE,Artemisia absinthium,1,0,0,0,0,0,0
BC02,reduced,May,SE,Berteroa incana,3,0,0,0,0,0,0
BC02,reduced,May,SE,Cerastium semidecandrum,1,0,0,0,0,1,0
BC02,reduced,May,SE,Crepis capillaris,1,0,0,0,0,0,0
BC02,reduced,May,SE,Daucus carota,2,0,0,0,0,0,0
BC02,reduced,May,SE,Echium vulgare,8,0,0,0,0,0,0
BC02,reduced,May,SE,Erodium cicutarium,1,0,0,0,0,1,0
BC02,reduced,May,SE,Festuca rubra,5,0,0,0,0,1,0
BC02,reduced,May,SE,Geranium molle,10,0,0,0,1,0,0
BC02,reduced,May,SE,Medicago lupulina,1,0,0,0,0,0,0
BC02,reduced,May,SE,Plantago lanceolata,7,0,0,0,1,0,0
BC02,reduced,May,SE,Poa pratensis,0.5,0,0,0,0,0,0
BC02,reduced,May,SE,Potentilla argentea,2,0,0,0,0,0,0
BC02,reduced,May,SE,Rumex acetosa,15,0,0,0,0,0,0
BC02,reduced,May,SE,Sedum acre,15,0,0,0,0,0,0
BC02,reduced,May,SE,Taraxacum,2,0,0,0,0,0,0
BC02,reduced,May,SE,Veronica arvensis,1,0,0,0,0,2,0
BC02,reduced,May,SE,Vicia sativa,30,0,0,0,0,1,0
BC02,reduced,September,NW,Achillea millefolium,3,0,0,0,1,1,0
BC02,reduced,September,NW,Arenaria serpyllifolia,0.01,1,0,0,0,0,0
BC02,reduced,September,NW,Berteroa incana,5,0,0,0,1,1,0
BC02,reduced,September,NW,Carex hirta,2,0,0,0,0,0,0
BC02,reduced,September,NW,Daucus carota,2,0,0,0,0,0,0
BC02,reduced,September,NW,Echium vulgare,15,0,0,0,0,1,0
BC02,reduced,September,NW,Erodium cicutarium,1,0,0,0,1,1,0
BC02,reduced,September,NW,Festuca rubra,1,0,0,0,0,1,0
BC02,reduced,September,NW,Geranium molle,1,0,0,0,0,0,0
BC02,reduced,September,NW,Geum,0.01,0,0,0,0,0,0
BC02,reduced,September,NW,Medicago sativa,7,0,0,0,0,1,0
BC02,reduced,September,NW,Plantago lanceolata,3,0,0,0,0,0,0
BC02,reduced,September,NW,Poa pratensis,4,0,0,0,0,0,0
BC02,reduced,September,NW,Rumex acetosa,0.5,0,0,0,0,1,0
BC02,reduced,September,NW,Sedum acre,3,0,0,0,0,1,0
BC02,reduced,September,NW,Solidago canadensis,60,0,0,0,1,1,0
BC02,reduced,September,NW,Tanacetum vulgare,2,0,0,0,1,1,0
BC02,reduced,September,NW,Veronica arvensis,0.01,1,0,0,0,0,0
BC02,reduced,September,NW,Vicia lathyroides,0.1,0,0,0,0,0,0
BC02,reduced,September,NW,Vicia sativa,0.5,0,0,0,0,0,0
BC02,reduced,September,SE,Achillea millefolium,7,0,0,0,1,1,0
BC02,reduced,September,SE,Arenaria serpyllifolia,1,1,0,0,0,0,0
BC02,reduced,September,SE,Artemisia absinthium,20,0,0,0,0,1,0
BC02,reduced,September,SE,Berteroa incana,2,0,0,0,1,1,0
BC02,reduced,September,SE,Bromus sterilis,2,0,0,0,0,0,0
BC02,reduced,September,SE,Crepis capillaris,5,0,0,0,1,1,0
BC02,reduced,September,SE,Daucus carota,3,0,0,0,0,0,0
BC02,reduced,September,SE,Echium vulgare,3,0,0,0,0,1,0
BC02,reduced,September,SE,Erodium cicutarium,3,0,0,0,1,1,0
BC02,reduced,September,SE,Festuca rubra,3,0,0,0,0,1,0
BC02,reduced,September,SE,Plantago lanceolata,12,0,0,0,0,0,0
BC02,reduced,September,SE,Poa pratensis,2,0,0,0,0,0,0
BC02,reduced,September,SE,Potentilla argentea,3,0,0,0,1,1,0
BC02,reduced,September,SE,Rumex acetosa,30,0,0,0,0,1,0
BC02,reduced,September,SE,Sedum acre,10,0,0,0,0,1,0
BC02,reduced,September,SE,Setaria viridis,0.1,0,0,0,1,1,0
BC02,reduced,September,SE,Taraxacum,3,0,0,0,0,0,0
BC02,reduced,September,SE,Veronica arvensis,0.5,1,0,0,0,0,0
BC02,reduced,September,SE,Vicia lathyroides,1,0,0,0,0,0,0
BC02,reduced,September,SE,Vicia sativa,15,0,0,0,0,0,0
BC03,reduced,July,NW,Achillea millefolium,1,0,0,0,1,0,0
BC03,reduced,July,NW,Agrostis capillaris,10,0,0,0,0,1,0
BC03,reduced,July,NW,Artemisia vulgaris,3,0,0,0,0,0,0
BC03,reduced,July,NW,Berteroa incana,17,0,0,0,1,1,0
BC03,reduced,July,NW,Bromus sterilis,0.2,1,0,0,0,0,0
BC03,reduced,July,NW,Daucus carota,6,0,0,0,1,0,0
BC03,reduced,July,NW,Diplotaxis,2,0,0,0,0,0,0
BC03,reduced,July,NW,Echium vulgare,0.5,1,0,0,0,0,0
BC03,reduced,July,NW,Elymus repens,15,0,0,0,0,1,0
BC03,reduced,July,NW,Erodium ciconium,0.5,1,0,0,0,0,0
BC03,reduced,July,NW,Festuca ovina,3,0,0,0,0,1,0
BC03,reduced,July,NW,Festuca rubra,6,0,0,0,0,1,0
BC03,reduced,July,NW,Geranium molle,1,1,0,0,0,0,0
BC03,reduced,July,NW,Lamium purpureum,0.1,1,0,0,0,0,0
BC03,reduced,July,NW,Medicago sativa,25,0,0,0,1,1,0
BC03,reduced,July,NW,Plantago lanceolata,2,0,0,0,1,1,0
BC03,reduced,July,NW,Potentilla argentea,3,0,0,0,1,1,0
BC03,reduced,July,NW,Potentilla reptans,3,0,0,0,0,1,0
BC03,reduced,July,NW,Stellaria media,0.01,1,0,0,0,0,0
BC03,reduced,July,NW,Taraxacum,2,0,0,0,0,0,0
BC03,reduced,July,NW,Veronica arvensis,0.1,1,0,0,0,0,0
BC03,reduced,July,NW,Vicia sativa,0.2,1,0,0,0,0,0
BC03,reduced,July,SE,Agrostis capillaris,20,0,0,0,0,1,0
BC03,reduced,July,SE,Artemisia vulgaris,0.01,0,0,0,0,0,0
BC03,reduced,July,SE,Berteroa incana,3,0,0,0,1,1,0
BC03,reduced,July,SE,Bromus sterilis,0.01,1,0,0,0,0,0
BC03,reduced,July,SE,Daucus carota,1,0,0,0,1,0,0
BC03,reduced,July,SE,Erodium cicutarium,0.01,1,0,0,0,0,0
BC03,reduced,July,SE,Festuca ovina,5,0,0,0,0,1,0
BC03,reduced,July,SE,Festuca rubra,25,0,0,0,0,1,0
BC03,reduced,July,SE,Geranium molle,0.1,1,0,0,0,0,0
BC03,reduced,July,SE,Hypochaeris radicata,0.01,0,0,0,0,0,0
BC03,reduced,July,SE,Lolium perenne,2,0,0,0,0,0,0
BC03,reduced,July,SE,Medicago sativa,30,0,0,0,1,1,0
BC03,reduced,July,SE,Plantago lanceolata,4,0,0,0,1,1,0
BC03,reduced,July,SE,Potentilla reptans,5,0,0,0,0,1,0
BC03,reduced,July,SE,Taraxacum,5,0,0,0,0,0,0
BC03,reduced,July,SE,Trifolium repens,1,0,0,0,0,0,0
BC03,reduced,July,SE,Vicia sativa,0.5,1,0,0,0,0,0
BC03,reduced,March,NW,Achillea millefolium,5,0,0,0,0,0,0
BC03,reduced,March,NW,Artemisia vulgaris,0.2,0,0,0,0,0,0
BC03,reduced,March,NW,Berteroa incana,0.3,0,0,0,0,0,0
BC03,reduced,March,NW,Bromus sterilis,7,0,0,0,0,0,0
BC03,reduced,March,NW,Cardamine hirsuta,0.5,0,0,0,1,0,0
BC03,reduced,March,NW,Crepis capillaris,0.1,0,0,0,0,0,0
BC03,reduced,March,NW,Daucus carota,3,0,0,0,0,0,0
BC03,reduced,March,NW,Festuca ovina,7,0,0,0,1,0,0
BC03,reduced,March,NW,Festuca rubra,1,0,0,0,0,0,0
BC03,reduced,March,NW,Geranium molle,2,0,0,0,0,0,0
BC03,reduced,March,NW,Lamium purpureum,60,0,0,0,1,0,0
BC03,reduced,March,NW,Lolium perenne,10,0,0,0,0,0,0
BC03,reduced,March,NW,Medicago sativa,4,0,0,0,0,0,0
BC03,reduced,March,NW,Myosotis ramosissima,0.01,0,0,0,0,0,0
BC03,reduced,March,NW,Plantago lanceolata,0.3,0,0,0,0,0,0
BC03,reduced,March,NW,Potentilla argentea,0.5,0,0,0,0,0,0
BC03,reduced,March,NW,Potentilla reptans,0.1,0,0,0,0,0,0
BC03,reduced,March,NW,Stellaria media,0.8,0,0,0,1,0,0
BC03,reduced,March,NW,Taraxacum,0.2,0,0,0,0,0,0
BC03,reduced,March,NW,Trifolium dubium,0.01,0,0,0,0,0,0
BC03,reduced,March,NW,Valerianella locusta,1,0,0,0,0,0,0
BC03,reduced,March,NW,Veronica persica,5,0,0,0,1,0,0
BC03,reduced,March,NW,Vicia sativa,0.5,0,0,0,0,0,0
BC03,reduced,March,SE,Agrostis capillaris,3,0,0,0,0,0,0
BC03,reduced,March,SE,Artemisia vulgaris,0.1,0,0,0,0,0,0
BC03,reduced,March,SE,Bromus sterilis,5,0,0,0,0,0,0
BC03,reduced,March,SE,Cardamine hirsuta,0.5,0,0,0,1,0,0
BC03,reduced,March,SE,Daucus carota,1,0,0,0,0,0,0
BC03,reduced,March,SE,Festuca ovina,40,0,0,0,1,0,0
BC03,reduced,March,SE,Festuca rubra,2,0,0,0,0,0,0
BC03,reduced,March,SE,Geranium molle,0.01,0,0,0,0,0,0
BC03,reduced,March,SE,Hypochaeris radicata,0.5,0,0,0,0,0,0
BC03,reduced,March,SE,Lamium purpureum,15,0,0,0,1,0,0
BC03,reduced,March,SE,Lolium perenne,11,0,0,0,0,0,0
BC03,reduced,March,SE,Medicago lupulina,1,0,0,0,0,0,0
BC03,reduced,March,SE,Medicago sativa,2,0,0,0,0,0,0
BC03,reduced,March,SE,Plantago lanceolata,5,0,0,0,0,0,0
BC03,reduced,March,SE,Potentilla reptans,1,0,0,0,0,0,0
BC03,reduced,March,SE,Scilla bifolia,1,0,0,0,1,0,0
BC03,reduced,March,SE,Stellaria media,5,0,0,0,1,0,0
BC03,reduced,March,SE,Taraxacum,2,0,0,0,0,0,0
BC03,reduced,March,SE,Valerianella locusta,1,0,0,0,0,0,0
BC03,reduced,March,SE,Vicia sativa,2,0,0,0,0,0,0
BC03,reduced,May,NW,Achillea millefolium,7,0,0,0,0,0,0
BC03,reduced,May,NW,Agrostis capillaris,7,0,0,0,1,0,0
BC03,reduced,May,NW,Arenaria serpyllifolia,0.1,0,0,0,0,1,0
BC03,reduced,May,NW,Artemisia vulgaris,3,0,0,0,0,0,0
BC03,reduced,May,NW,Berteroa incana,2,0,0,0,0,0,0
BC03,reduced,May,NW,Bromus sterilis,35,0,0,0,1,1,0
BC03,reduced,May,NW,Crepis capillaris,0.01,0,0,0,0,0,0
BC03,reduced,May,NW,Daucus carota,7,0,0,0,0,0,0
BC03,reduced,May,NW,Diplotaxis,1,0,0,0,0,0,0
BC03,reduced,May,NW,Elymus repens,1,0,0,0,0,0,0
BC03,reduced,May,NW,Festuca ovina,5,0,0,0,1,1,0
BC03,reduced,May,NW,Festuca rubra,15,0,0,0,1,1,0
BC03,reduced,May,NW,Geranium molle,2,0,0,0,1,1,0
BC03,reduced,May,NW,Hypericum perforatum,0.5,0,0,0,0,0,0
BC03,reduced,May,NW,Hypochaeris radicata,0.5,0,0,0,0,0,0
BC03,reduced,May,NW,Lolium perenne,3,0,0,0,1,0,0
BC03,reduced,May,NW,Medicago sativa,35,0,0,0,1,0,0
BC03,reduced,May,NW,Plantago lanceolata,3,0,0,0,1,0,0
BC03,reduced,May,NW,Poa pratensis,0.5,0,0,0,1,1,0
BC03,reduced,May,NW,Potentilla argentea,1,0,0,0,1,0,0
BC03,reduced,May,NW,Potentilla reptans,3,0,0,0,0,0,0
BC03,reduced,May,NW,Taraxacum,1,0,0,0,0,1,0
BC03,reduced,May,NW,Trifolium repens,0.5,0,0,0,1,0,0
BC03,reduced,May,NW,Veronica arvensis,0.01,0,0,0,0,1,0
BC03,reduced,May,NW,Veronica persica,0.1,0,0,0,0,1,0
BC03,reduced,May,NW,Vicia sativa,5,0,0,0,1,1,0
BC03,reduced,May,SE,Agrostis capillaris,20,0,0,0,1,0,0
BC03,reduced,May,SE,Artemisia vulgaris,1,0,0,0,0,0,0
